date,INFLOW-GW_01,INFLOW-GW_02,INFLOW-GW_03,INFLOW-GW_04,INFLOW-GW_05,INFLOW-GW_06,INFLOW-GW_07,INFLOW-GW_08,INFLOW-GW_09,INFLOW-GW_10,INFLOW-GW_11,INFLOW-GW_12,INFLOW-GW_13,INFLOW-GW_14,INFLOW-GW_15,INFLOW-GW_16,INFLOW-GW_17,INFLOW-GW_18,INFLOW-GW_19,INFLOW-GW_20,INFLOW-GW_21,INFLOW-GW_AV,INFLOW-GW_CH,INFLOW-GW_EW,INFLOW-GW_IM,INFLOW-GW_MJ,INFLOW-GW_MWD,INFLOW-GW_OW,INFLOW-GW_SBV,INFLOW-GW_SC,INFLOW-GW_SD,INFLOW-GW_VC
1921-10-31,-1079.57,132.804,70.196,266.827,63.744,123.463,127.32,50.615,188.388,24.42,24.893,27.854,136.358,91.087,89.15,35.306,54.152,89.029,45.577,99.746,168.257,0.0,0.86,11.03,2.39,0.0,65.81,3.86,16.42,9.87,11.19,22.19
1921-11-30,-187.673,52.465,41.422,-2.287,40.718,43.337,63.221,137.658,109.961,12.25,7.926,12.211,117.991,57.377,84.101,29.475,25.314,74.948,32.206,90.006,142.928,0.0,0.57,9.36,0.0,5.41,60.46,2.88,12.92,16.89,10.57,15.43
1921-12-31,-79.923,97.796,137.36,68.922,84.198,71.178,50.879,149.321,95.152,67.835,31.254,30.048,225.046,84.892,168.686,44.159,29.376,146.035,50.663,95.422,158.347,29.79,49.32,12.27,8.18,6.02,69.56,2.97,11.2,15.73,12.26,11.73
1922-01-31,-64.769,58.859,91.583,-30.326,63.443,44.607,22.548,94.836,37.477,53.486,33.797,25.979,195.442,74.378,194.799,58.031,83.17,169.169,41.494,99.21,146.914,8.75,15.77,8.18,6.18,16.29,71.25,3.06,9.88,36.36,9.38,4.26
1922-02-28,-31.667,241.645,121.611,79.359,103.918,130.919,58.729,210.513,71.837,95.808,49.224,39.731,267.323,84.986,178.448,62.775,135.27,168.702,39.146,96.874,151.62,0.0,3.01,3.21,5.95,8.67,59.39,3.49,10.08,36.76,2.96,0.0
1922-03-31,-49.926,110.405,85.926,-28.035,97.186,83.813,36.806,149.919,10.52,66.421,88.268,112.34,297.311,66.34,234.324,70.565,113.374,169.935,32.861,95.963,142.247,0.96,3.15,2.94,0.56,15.69,70.09,5.27,10.69,22.68,3.79,0.0
1922-04-30,-48.918,116.589,72.362,42.345,99.837,79.692,41.819,129.894,14.474,55.078,123.546,181.621,413.756,49.087,212.572,91.253,92.164,126.909,30.641,87.45,123.675,0.0,0.0,4.09,0.22,5.46,86.72,6.0,14.64,9.84,4.59,0.0
1922-05-31,-33.682,126.325,39.546,33.509,243.475,84.696,63.09,146.783,62.26,53.714,63.489,134.007,334.349,46.432,230.266,45.262,91.857,119.572,26.588,84.083,140.718,0.0,0.0,6.36,0.0,0.0,97.94,7.67,17.69,2.94,7.54,4.88
1922-06-30,-34.833,88.185,46.005,57.982,56.8,61.243,25.402,130.662,28.891,56.518,102.634,163.438,321.051,33.335,235.389,26.98,70.824,99.737,22.334,82.635,140.798,0.0,0.0,12.41,0.0,0.0,107.19,7.25,22.83,0.33,12.84,18.62
1922-07-31,-39.705,52.648,45.28,42.844,2.717,61.607,-0.881,32.224,5.091,37.342,39.721,36.351,240.054,36.45,216.346,-2.832,25.007,112.158,21.504,81.831,125.196,0.0,1.0,17.93,0.11,0.0,116.73,6.14,24.8,1.0,18.02,30.39
