date,A101-HU101,A102-HU102,A103A-HU103A,A103B-HU103B,A104-HU104,A202-HU202,A203-HU203,A204-HU204,A206-HU206,A207-HU207,A302-HU302,A303-HU303,A305-HU305,A306-HU306,A401-HU401,A402A-HU402A,A402B-HU402B,A403-HU403,A404A-HU404A,A404B-HU404B,A405-HU405,A407-HU407,A408A-HU408A,A408B-HU408B,A409A-HU409A,A409B-HU409B,A409C-HU409C,A500-HU500,A501-HU501,A502-HU502,A507-HU507,A508-HU508,A509-HU509,A510-HU510,A511-HU511,A512-HU512
1921-10-31,4.529999999999999,16.290000000000006,45.14999999999999,13.729999999999997,17.56,65.82,27.87,13.25,24.75,27.71,38.36,78.39,41.5,60.58,10.480000000000002,41.64,4.48,24.89,97.19,3.83,77.7,27.01000000000001,15.96,33.910000000000004,31.98,13.799999999999995,3.7,2.88,6.470000000000001,2.76,9.86,18.22,10.158,76.65,1.5200000000000002,3.62
1921-11-30,0.5200000000000001,1.8200000000000005,21.18,6.450000000000001,8.45,37.34,1.5000000000000002,7.530000000000001,3.2500000000000004,1.8100000000000005,9.010000000000002,33.07,10.279999999999998,5.24,0.3500000000000001,15.6,1.6800000000000002,0.32,10.010000000000002,0.39,7.01,0.53,1.54,3.27,1.83,0.79,0.21,0.0,0.33,0.148,0.7000000000000002,1.29,0.548,5.42,0.0999999999999999,0.27
1921-12-31,0.21,0.15,9.340000000000003,2.8400000000000007,6.7,24.760000000000005,0.28,8.280000000000001,0.1999999999999999,0.58,5.43,17.39,8.839999999999998,2.39,0.0,25.51,2.7500000000000004,0.0,10.35,0.41,2.11,0.0,0.08,0.18,0.0,0.0,0.0,0.0,0.06,0.025,0.25,0.44,0.099,1.96,0.02,0.09
1922-01-31,0.06,0.13,5.08,1.5400000000000005,1.7499999999999998,9.79,0.25,7.89,0.33,0.1699999999999999,8.270000000000001,15.43,5.05,3.38,0.3500000000000001,29.429999999999996,3.169999999999999,1.11,18.58,0.73,10.4,6.339999999999999,4.79,10.19,11.510000000000002,4.970000000000001,1.33,0.0,0.06,0.019,2.4200000000000004,4.48,0.09,18.84,0.37,0.8899999999999999
1922-02-28,0.0,0.31,3.1500000000000004,0.9600000000000002,1.54,1.9100000000000004,0.35,7.249999999999999,1.01,0.13,9.839999999999996,38.18,8.040000000000001,8.27,0.1,29.99000000000001,3.2299999999999995,0.2299999999999999,19.36,0.76,19.28,2.08,2.69,5.720000000000001,5.21,2.2500000000000004,0.6000000000000001,0.0,0.08,0.029,1.5000000000000004,2.76,0.126,10.89,0.22,0.55
1922-03-31,0.26,4.85,11.140000000000002,3.39,5.949999999999999,8.31,13.09,9.669999999999998,8.879999999999999,4.08,36.1,96.0,41.84,59.21,27.17,87.03999999999999,9.370000000000005,13.54,165.3,6.5,161.52,51.56000000000001,29.46,62.61000000000003,60.10000000000001,25.94,6.96,0.22,3.05,1.295,17.84,32.95,4.769,138.62,2.75,6.540000000000001
1922-04-30,4.15,34.61,119.28999999999996,36.29,95.76999999999998,163.91000000000005,65.88,57.68000000000001,82.07,43.290000000000006,89.85000000000002,118.29,88.7,150.69,42.84,40.29,4.34,64.83,122.76999999999998,4.83,213.66000000000005,68.46000000000002,19.68,41.830000000000005,40.23999999999999,17.369999999999997,4.66,9.33,15.34,6.527,16.93,31.28,24.021,123.36,2.61,6.209999999999999
1922-05-31,7.009999999999999,56.47,156.55,47.62,147.6,200.33,138.37,61.71,212.71,126.95000000000002,132.41999999999996,211.53,133.85,265.32,63.81000000000002,140.05,15.080000000000002,160.36,263.53000000000003,10.38,371.71,136.71,39.620000000000005,84.19999999999997,100.32999999999998,43.31,11.61,15.84,32.120000000000005,13.71,35.33,65.28,50.45100000000001,257.44,5.45,12.95
1922-06-30,7.480000000000001,67.12,172.95,52.61000000000001,168.52,241.69,158.01999999999998,81.79999999999998,285.75034400000004,156.83,144.3,285.16,152.43000000000004,301.67,65.44,229.12999999999997,24.67,165.38,381.21,15.010000000000002,491.13,140.77,58.03,123.34,130.29,56.240000000000016,15.079999999999998,19.3,38.74,16.482,44.53,82.28,60.642,324.49,6.869999999999997,16.33
1922-07-31,8.229999999999999,82.21,184.27000000000004,56.04999999999998,191.37,243.96,177.49,87.76999999999998,285.75034400000004,182.84000000000003,147.93000000000004,307.86,159.26999999999998,332.97,66.22,231.79999999999995,24.950000000000003,163.14,419.45,16.509999999999998,503.15,157.29000000000008,67.02000000000001,142.44,147.16999999999996,63.52000000000001,17.029999999999998,27.91,43.52,18.508,48.68000000000001,89.95,68.116,378.39,7.5000000000000036,17.85
1922-08-31,7.81,68.84,158.99,48.36000000000001,154.23000000000002,193.33000000000004,144.93,70.42999999999999,223.63,148.25000000000003,123.89,257.95000000000005,123.81,284.24,49.80999999999999,188.45,20.29,126.6,346.1700000000001,13.63,383.3200000000001,126.39,56.86,120.85,121.38,52.39,14.05,34.41,33.76,14.361999999999998,39.510000000000005,73.0,52.842,307.08000000000004,6.1,14.489999999999998
1922-09-30,6.9350000000000005,44.42,75.06000000000003,22.84,54.91,86.04999999999998,54.95,28.27,91.57999999999998,74.38,77.72999999999999,108.93,76.47000000000001,118.69,24.77,16.049999999999997,1.7300000000000004,57.62,56.970000000000006,2.24,120.79,35.09,6.130000000000001,13.03,19.340000000000007,8.35,2.24,15.58,12.8,5.444000000000001,8.8,16.25,20.038,68.36,1.3500000000000003,3.22
1922-10-31,4.42,15.480000000000002,45.14999999999999,13.729999999999997,17.549999999999997,62.53999999999999,27.87,13.25,24.75,27.71,38.36,78.39,41.5,60.58,10.160000000000002,41.64,4.48,24.89,97.19,3.83,77.7,27.01000000000001,15.96,33.910000000000004,31.98,13.799999999999995,3.7,2.88,6.470000000000001,2.76,9.86,18.22,10.158,76.65,1.5200000000000002,3.62
1922-11-30,0.5000000000000001,1.7200000000000004,21.18,6.450000000000001,8.45,35.47,1.5000000000000002,7.530000000000001,3.2500000000000004,1.8100000000000005,9.010000000000002,33.07,10.279999999999998,5.24,0.3500000000000001,15.6,1.6800000000000002,0.32,10.010000000000002,0.39,7.01,0.53,1.54,3.27,1.83,0.79,0.21,0.0,0.33,0.148,0.7000000000000002,1.29,0.548,5.42,0.0999999999999999,0.27
1922-12-31,0.21,0.15,9.340000000000003,2.8400000000000007,6.7,24.760000000000005,0.28,8.280000000000001,0.1999999999999999,0.58,5.43,17.39,8.839999999999998,2.39,0.0,25.51,2.7500000000000004,0.0,10.35,0.41,2.11,0.0,0.08,0.18,0.0,0.0,0.0,0.0,0.06,0.025,0.25,0.44,0.099,1.96,0.02,0.09
1923-01-31,0.06,0.13,5.08,1.5400000000000005,1.7499999999999998,9.79,0.25,7.89,0.33,0.1699999999999999,8.270000000000001,15.43,5.05,3.38,0.3500000000000001,29.429999999999996,3.169999999999999,1.11,18.58,0.73,10.4,6.339999999999999,4.79,10.19,11.510000000000002,4.970000000000001,1.33,0.0,0.06,0.019,2.4200000000000004,4.48,0.09,18.84,0.37,0.8899999999999999
1923-02-28,0.0,0.29,3.1500000000000004,0.9600000000000002,1.54,1.8500000000000003,0.35,7.249999999999999,1.01,0.12,9.839999999999996,38.18,8.040000000000001,8.27,0.1,29.99000000000001,3.2299999999999995,0.2299999999999999,19.36,0.76,19.28,2.08,2.69,5.720000000000001,5.21,2.2500000000000004,0.6000000000000001,0.0,0.08,0.029,1.5000000000000004,2.76,0.1169999999999999,10.89,0.22,0.55
