date,PMP_Banks-D800,PMP_Tracy-D701
1921-10-31,306.9475073100176,258.25
1921-11-30,282.243723967254,148.46982807278604
1921-12-31,222.30015000000003,258.25
1922-01-31,369.0697405215562,258.25
1922-02-28,445.0,255.46
1922-03-31,464.0,259.1698926308463
1922-04-30,397.0,273.72
1922-05-31,411.0,282.79
1922-06-30,397.0,273.72
1922-07-31,367.029331791646,258.25
1922-08-31,274.8344008521906,258.25
1922-09-30,236.2155,249.92
1922-10-31,330.5,155.9395
1922-11-30,365.53,135.14755000000002
1922-12-31,453.0,282.92
1923-01-31,509.0,279.91063688959224
1923-02-28,300.39935,233.25
1923-03-31,283.28000000000003,194.3751190435344
1923-04-30,397.0,273.72
1923-05-31,325.37352806462286,258.25
1923-06-30,332.131,249.92
1923-07-31,178.65080839500206,258.25
1923-08-31,278.201351926336,258.25
1923-09-30,292.07050000000004,249.92
1923-10-31,330.5,179.68049999999994
1923-11-30,299.3117230785129,92.0813549870784
1923-12-31,188.86,160.17314999999996
1924-01-31,188.86,122.80521015154858
1924-02-29,213.23,99.80485000000002
1924-03-31,236.07,78.84925000000001
1924-04-30,182.76,67.4967
1924-05-31,188.86,134.36856032268722
1924-06-30,244.6466486135939,249.92
1924-07-31,47.21,100.19930000000002
1924-08-31,94.43,93.32796306685368
1924-09-30,182.76,122.51905000000004
1924-10-31,311.6116069670929,42.14912903225807
1924-11-30,247.09971273398205,48.16583726601792
1924-12-31,188.86,178.50955
1925-01-31,188.86,104.0097
1925-02-28,408.0,255.46
1925-03-31,283.28000000000003,173.6659464069371
1925-04-30,397.0,273.72
1925-05-31,311.1180055335969,258.25
1925-06-30,335.64800799205005,249.92
1925-07-31,141.64,139.87629999999987
1925-08-31,267.805,258.25
1925-09-30,212.87740602714425,184.1510939728558
1925-10-31,318.58830811389004,55.11419188611003
1925-11-30,293.5939786376887,85.54357136231131
1925-12-31,188.86,156.97814999999997
1926-01-31,231.4032483870968,117.81845161290325
1926-02-28,347.98315000000014,233.25
1926-03-31,283.28000000000003,115.48315000000002
1926-04-30,378.4313196988793,249.92
1926-05-31,283.28000000000003,254.61192102245025
1926-06-30,274.15,236.042
1926-07-31,141.64,152.1872999999999
1926-08-31,267.805,258.25
1926-09-30,201.92735577482608,153.85214422517396
1926-10-31,309.4689193548388,51.75558064516129
1926-11-30,314.8758781186172,144.48767188138277
1926-12-31,188.86,170.95814999999993
1927-01-31,277.571,258.25
1927-02-28,427.0,255.46
1927-03-31,439.0,282.84
1927-04-30,397.0,273.72
1927-05-31,306.2890055335968,258.25
1927-06-30,333.7469327232328,249.92
1927-07-31,221.32130637979805,258.25
1927-08-31,277.6377813003852,258.25
1927-09-30,321.9655,249.92
