date,INFLOW-GW_01,INFLOW-GW_02,INFLOW-GW_03,INFLOW-GW_04,INFLOW-GW_05,INFLOW-GW_06,INFLOW-GW_07,INFLOW-GW_08,INFLOW-GW_09,INFLOW-GW_10,INFLOW-GW_11,INFLOW-GW_12,INFLOW-GW_13,INFLOW-GW_14,INFLOW-GW_15,INFLOW-GW_16,INFLOW-GW_17,INFLOW-GW_18,INFLOW-GW_19,INFLOW-GW_20,INFLOW-GW_21,INFLOW-GW_AV,INFLOW-GW_CH,INFLOW-GW_EW,INFLOW-GW_IM,INFLOW-GW_MJ,INFLOW-GW_MWD,INFLOW-GW_OW,INFLOW-GW_SBV,INFLOW-GW_SC,INFLOW-GW_SD,INFLOW-GW_VC
1921-10-31,-971.613,119.5236,63.1764,240.1443,57.3696,111.1167,114.588,45.5535,169.5492,21.978,22.4037,25.0686,122.7222,81.9783,80.23500000000001,31.7754,48.7368,80.1261,41.0193,89.7714,151.43130000000002,0.0,0.774,9.927,2.151,0.0,59.229000000000006,3.474,14.778000000000002,8.883,10.071,19.971
1921-11-30,-168.9057,47.218500000000006,37.2798,-2.0583,36.64620000000001,39.0033,56.8989,123.8922,98.9649,11.025,7.1334,10.9899,106.1919,51.639300000000006,75.6909,26.527500000000003,22.7826,67.4532,28.9854,81.00540000000001,128.6352,0.0,0.513,8.424,0.0,4.869000000000001,54.414,2.592,11.628,15.201,9.513,13.887
1921-12-31,-71.9307,88.0164,123.624,62.0298,75.7782,64.0602,45.7911,134.3889,85.63680000000001,61.0515,28.1286,27.0432,202.5414,76.4028,151.81740000000002,39.7431,26.4384,131.4315,45.5967,85.8798,142.5123,26.811,44.388,11.043,7.362,5.418,62.604000000000006,2.673,10.08,14.157,11.034,10.557
1922-01-31,-58.292100000000005,52.9731,82.4247,-27.2934,57.0987,40.1463,20.2932,85.3524,33.729299999999995,48.1374,30.4173,23.3811,175.89780000000002,66.9402,175.31910000000002,52.2279,74.85300000000001,152.2521,37.3446,89.289,132.2226,7.875,14.193,7.362,5.562,14.661,64.125,2.754,8.892000000000001,32.724000000000004,8.442,3.834
1922-02-28,-28.500300000000003,217.4805,109.4499,71.42309999999999,93.5262,117.82710000000002,52.8561,189.4617,64.6533,86.22720000000001,44.3016,35.7579,240.5907,76.48740000000001,160.60320000000002,56.4975,121.743,151.83180000000002,35.2314,87.1866,136.458,0.0,2.709,2.889,5.355,7.803,53.451,3.1410000000000005,9.072,33.084,2.664,0.0
1922-03-31,-44.933400000000006,99.3645,77.3334,-25.2315,87.46740000000001,75.4317,33.1254,134.92710000000002,9.468,59.77890000000001,79.44120000000001,101.106,267.5799,59.706,210.8916,63.5085,102.0366,152.94150000000002,29.5749,86.3667,128.02230000000003,0.864,2.835,2.646,0.5040000000000001,14.121,63.081,4.742999999999999,9.621,20.412,3.411,0.0
1922-04-30,-44.0262,104.9301,65.1258,38.1105,89.8533,71.72279999999999,37.6371,116.9046,13.0266,49.57020000000001,111.1914,163.4589,372.3804,44.17830000000001,191.3148,82.1277,82.94760000000001,114.2181,27.5769,78.705,111.3075,0.0,0.0,3.681,0.198,4.914,78.048,5.4,13.176,8.856,4.131,0.0
1922-05-31,-30.313800000000004,113.6925,35.5914,30.1581,219.1275,76.2264,56.781000000000006,132.10469999999998,56.034,48.3426,57.1401,120.6063,300.9141,41.7888,207.2394,40.735800000000005,82.6713,107.6148,23.9292,75.6747,126.6462,0.0,0.0,5.724,0.0,0.0,88.146,6.9030000000000005,15.921,2.646,6.7860000000000005,4.392
1922-06-30,-31.3497,79.3665,41.404500000000006,52.1838,51.12,55.1187,22.8618,117.5958,26.0019,50.8662,92.3706,147.0942,288.9459,30.0015,211.85010000000003,24.282,63.7416,89.7633,20.1006,74.37150000000001,126.7182,0.0,0.0,11.169,0.0,0.0,96.471,6.525,20.547,0.297,11.556,16.758000000000003
1922-07-31,-35.7345,47.3832,40.752,38.5596,2.4453,55.4463,-0.7929,29.0016,4.5819,33.6078,35.7489,32.7159,216.0486,32.80500000000001,194.7114,-2.5488,22.506300000000003,100.9422,19.3536,73.6479,112.6764,0.0,0.9,16.137,0.099,0.0,105.057,5.526,22.32,0.9,16.218,27.351000000000003
1922-08-31,-43.8597,29.5146,46.1178,46.1205,31.4892,50.1624,14.499,37.1484,20.297700000000003,27.819,16.4979,7.497,199.287,32.1264,142.9704,-1.8117,23.9589,105.5907,17.8443,73.33019999999999,100.3482,0.0,0.0,18.342,1.953,0.0,106.839,5.04,21.285,0.0,18.288,28.323
1922-09-30,-42.9255,25.8633,52.5348,54.0468,-4.1724000000000006,35.63100000000001,14.730300000000002,39.3507,8.4519,32.8923,43.9902,29.6883,182.5146,45.7542,102.8376,-2.3013,14.2029,87.7608,21.672,62.50319999999999,84.3246,0.0,0.0,17.217,0.0,0.0,99.513,4.464,18.153,0.972,17.361,23.49
1922-10-31,-39.3237,0.6507,35.5563,33.1686,31.8123,26.6544,20.6424,31.965300000000003,9.1647,28.9188,39.7161,52.3476,135.3465,25.1586,65.9475,4.816800000000001,-1.4742,50.922,17.0028,46.2582,67.4298,0.0,0.0,15.93,0.0,3.384,90.261,5.265,14.778000000000002,4.698,16.101000000000003,19.971
1922-11-30,-39.6261,23.0031,55.1151,40.283100000000005,29.7189,37.5282,36.054,82.6803,20.573100000000004,24.3459,28.6272,38.416500000000006,110.3868,27.9486,84.2256,21.3732,12.8952,55.5156,12.4173,42.6951,64.3122,0.126,0.387,9.477,5.175,3.159,59.229000000000006,4.41,11.628,12.231,10.593,13.887
1922-12-31,-18.7839,125.7705,106.1082,154.18980000000002,110.0898,124.8399,82.7253,190.5309,58.69350000000001,53.856,72.93870000000001,69.01740000000001,162.32670000000002,40.9356,113.1552,26.3367,21.9627,78.5997,16.5744,43.8732,61.575300000000006,0.126,0.513,8.604000000000001,6.714,1.899,54.414,4.553999999999999,10.08,18.189,8.631,10.557
