date,INFLOW-SR_BER,INFLOW-SR_BLB,INFLOW-SR_BUC,INFLOW-SR_BUL,INFLOW-SR_CFW,INFLOW-SR_CLE,INFLOW-SR_CLK_INV,INFLOW-SR_CRW,INFLOW-SR_DNP,INFLOW-SR_FOL,INFLOW-SR_GNT,INFLOW-SR_HID,INFLOW-SR_HTH,INFLOW-SR_ISB,INFLOW-SR_LL_ENR,INFLOW-SR_LVQ,INFLOW-SR_MCR,INFLOW-SR_MIL,INFLOW-SR_NHG,INFLOW-SR_NML,INFLOW-SR_PAR,INFLOW-SR_PNF,INFLOW-SR_RLL_CMB,INFLOW-SR_SCAGG,INFLOW-SR_SCC,INFLOW-SR_SHA,INFLOW-SR_TRM,INFLOW-SR_TUL,INFLOW-SR_WHI
1921-10-31,0.0,3.96,0.0,15.12,0.0,9.18,3.2463,8.370000000000001,4.23,7.65,3.78,0.18,0.9,11.88,0.09,0.0,2.79,59.760000000000005,0.0,5.3100000000000005,2.07,12.6,2.43,8.64,0.81,207.0,2.25,0.0,0.54
1921-11-30,0.0,4.680000000000001,0.0,18.81,0.0,18.45,3.9276,8.55,4.77,18.0,3.87,0.27,0.63,11.7,0.09,0.0,3.15,45.63,0.09,4.05,2.16,10.89,3.78,14.76,1.26,211.5,2.25,0.009,2.97
1921-12-31,30.42,13.41,10.53,32.67,1.404,31.41,34.1235,9.0,42.21,58.68000000000001,4.14,8.01,4.14,19.44,4.95,0.081,39.690000000000005,74.78999999999999,11.61,19.89,11.16,48.51,9.54,13.68,5.13,298.8,11.79,1.746,23.040000000000003
1922-01-31,7.470000000000001,13.59,9.0,44.91,0.639,26.73,9.8874,9.9,40.77,47.88,3.87,7.11,11.61,27.63,14.04,0.18,36.18000000000001,82.44,12.69,29.16,20.25,56.79,12.15,31.680000000000003,8.46,269.1,15.57,1.908,27.18
1922-02-28,112.95,73.62,37.17,65.88000000000001,8.937,38.97,131.6394,10.71,153.9,138.96,3.42,30.96,13.77,30.42,10.53,0.99,146.88,109.08,92.07,81.18,60.38999999999999,73.53,32.76,32.04,10.89,487.8,23.94,13.842,27.090000000000003
1922-03-31,29.880000000000003,38.34,22.68,93.24,5.157000000000001,65.25,58.6791,12.6,123.84,112.5,4.23,24.21,24.21,47.16,19.71,0.126,105.57,101.52,35.46,87.75,54.18000000000001,82.89,32.76,19.8,12.78,543.6,27.81,5.328,23.76
1922-04-30,12.51,42.48,11.43,180.99,0.684,135.27,39.3507,19.71,132.3,154.89,9.36,18.090000000000003,53.01,75.96000000000001,51.39,0.009,111.87,165.15,24.48,148.77,99.18,143.91,46.35,8.55,14.670000000000002,694.8000000000001,45.45,3.681,70.11000000000001
1922-05-31,3.06,32.76,4.59,443.43,0.0,234.18,16.2513,16.56,212.76,375.39,31.05,14.490000000000002,262.71,217.8,171.18,0.0,374.85,365.49,7.74,430.11,301.32,594.36,89.82,2.61,28.8,560.7,139.5,1.161,36.81
1922-06-30,0.63,15.03,1.35,285.03,0.0,96.66,16.3611,33.93000000000001,141.84,312.39000000000004,44.01,4.32,353.07,181.8,182.16,0.0,360.36,594.0,1.98,318.33,255.6,635.85,26.1,0.27,8.19,301.5,106.2,0.306,7.65
1922-07-31,0.0,4.77,0.09,57.6,0.0,17.1,16.0101,26.82,29.340000000000003,60.93000000000001,28.17,2.25,100.71,79.83,45.09,0.0,77.67,275.13,0.36,68.49,35.82,203.22000000000003,7.470000000000001,0.9,2.07,214.2,27.99,0.054,7.65
1922-08-31,0.0,2.16,0.0,25.47,0.0,5.94,13.9644,13.32,6.75,11.07,11.34,0.54,14.670000000000002,33.39,3.06,0.0,13.95,114.12,0.0,17.009999999999998,2.79,64.17,5.13,0.0,1.53,190.8,8.1,0.0,0.99
