date,HXCMWD-ERes_CMWD,HXEWMWD-ERES_EWMWD,HXI101-EXT_Reddin,HXI201-EXT_YUBA,HXI203-EXT_CVPM06,HXI204-EXT_SAC,HXI205-ERES_NAPA,HXI205-IND_NAPA,HXI207-EXT_CVPM08,HXI208-ERES_CC,HXI208-IND_CCWD,HXI209-ERES_EBMUD,HXI209-IND_EBMUD,HXI210-EXT_STOCK,HXI301-ERES_SF,HXI301-IND_SFPUC,HXI302-EXT_CVPM11,HXI304-ERes_SCV,HXI304-Ind_SCV,HXI305-EXT_CVPM12,HXI306-EXT_CVPM13,HXI401-EXT_FRESN,HXI402-Ext_CVPM14,HXI403-EXT_CVPM17,HXI405-EXT_CVPM18,HXI406-EXT_SB_SLO,HXI407-EXT_CVPM20,HXI410-EXT_BAKER,HXI501-ERes_VENT,HXI501-IND_VENT,HXI502-EXT_AV,HXI503-EXT_CLWA,HXI504-Ind_CMWD,HXI505-EXT_MR,HXI506-ERes_SBV,HXI506-Ind_SBV,HXI507-EXT_COACH,HXI508-EXT_Blythe,HXI509-Ind_EMWD,HXI510-EXT_El_Cen,HXI511-Ind_SDMWD,HXSD-ERes_SDWD,U101-INT_Reddin,U102-EXT_CVPM02,U102-INT_CVPM02,U103-EXT_CVPM03,U103-INT_CVPM03,U104-EXT_CVPM04,U104-INT_CVPM04,U201-INT_YUBA,U202-EXT_CVPM05,U202-INT_CVPM05,U203-INT_CVPM06,U204-INT_SAC,U205-IRES_NAPA,U206-EXT_CVPM09,U206-INT_CVPM09,U207-INT_CVPM08,U208-IRES_CC,U209-IRES_EBMUD,U210-INT_STOCK,U301-IRES_SF,U302-INT_CVPM11,U303-EXT_CVPM10,U303-INT_CVPM10,U304-IRES_SCV,U305-INT_CVPM12,U306-INT_CVPM13,U401-INT_FRESN,U402-INT_CVPM14,U403-INT_CVPM17,U404-EXT_CVPM15,U404-INT_CVPM15,U405-INT_CVPM18,U406-INT_SB_SLO,U407-INT_CVPM20,U408-Ext_CVPM19,U408-INT_CVPM19,U409-EXT_CVPM21,U409-INT_CVPM21,U410-INT_BAKER,U501-IRES_VENT,U502-INT_AV,U503-INT_CLWA,U504-IRes_CMWD,U505-INT_MR,U506-IRes_SBV,U507-INT_COACH,U508-INT_Blythe,U509-IRes_EMWD,U510-INT_El_Cen,U511-IRes_SDWD
1921-10-31,140.26999999999998,46.89,1.99,1.4300000000000002,2.89,31.5,7.240000000000001,0.63,3.63,4.18,0.48,8.879999999999999,1.18,5.34,7.569999999999999,0.99,9.55,24.67,3.23,6.49,8.209999999999999,12.13,0.62,5.199999999999999,7.460000000000001,10.08,4.95,9.260000000000002,4.9,0.54,16.43,7.1000000000000005,9.26,9.53,28.25,0.6,12.73,0.7000000000000001,0.49,3.5700000000000003,0.26,45.55,4.949999999999999,2.44,8.74,0.21,2.15,0.29,1.82,5.120000000000001,1.83,3.96,4.94,26.75,6.570000000000001,3.06,7.14,2.92,4.699999999999999,11.51,3.97,9.72,9.12,2.4,5.5,31.02,7.55,9.55,14.34,1.5,6.149999999999999,1.79,4.32,8.819999999999999,7.040000000000001,5.840000000000001,1.01,2.43,1.04,2.5,10.93,5.48,7.81,6.52,138.84,8.63,12.919999999999998,14.34,0.48,24.84,2.2,28.6
1921-11-30,91.42000000000002,35.17,0.4700000000000001,0.0,1.72,17.700000000000003,4.890000000000001,0.56,2.03,2.64,0.42,6.220000000000001,1.05,3.04,6.400000000000001,0.88,5.05,15.52,2.87,3.14,3.980000000000001,5.67,0.25,2.43,3.49,7.169999999999998,2.32,4.340000000000002,3.36,0.48,10.3,4.949999999999999,8.23,5.609999999999999,18.98,0.53,11.2,0.5700000000000001,0.43,2.77,0.23,31.160000000000007,4.949999999999999,1.35,8.74,0.0,2.15,0.0,1.82,5.120000000000002,1.38,3.96,4.94,26.75,6.569999999999999,1.82,7.14,2.92,4.700000000000001,11.51,3.97,9.720000000000002,9.119999999999996,1.46,5.5,31.02,7.550000000000001,9.55,14.340000000000002,1.5,6.149999999999999,0.72,4.32,8.819999999999999,7.040000000000002,5.840000000000001,0.27,2.43,0.28,2.5,10.930000000000003,5.26,7.81,6.390000000000001,136.33,8.629999999999999,13.2,14.340000000000002,0.49,24.840000000000003,2.1999999999999997,28.6
1921-12-31,76.81,30.89,0.12,0.0,0.0,10.819999999999997,3.94,0.55,1.4400000000000002,1.8500000000000003,0.41,5.469999999999999,1.02,2.19,5.84,0.86,3.39,11.539999999999996,2.81,1.91,2.41,2.29,0.0,0.98,1.41,5.9,0.6200000000000001,1.1700000000000002,2.9,0.47,6.48,4.300000000000001,8.06,2.68,15.19,0.52,8.960000000000003,0.42,0.42,2.13,0.23,25.2,4.949999999999999,0.0,8.74,0.0,2.15,0.0,1.82,5.120000000000002,0.0,3.96,4.94,26.75,6.569999999999999,0.0,7.14,2.92,4.700000000000001,11.51,3.97,9.720000000000002,9.119999999999996,0.0,5.5,31.02,7.550000000000001,9.55,14.340000000000002,1.5,6.149999999999999,0.0,4.32,8.819999999999999,7.040000000000002,5.840000000000001,0.0,2.43,0.0,2.5,10.930000000000003,5.26,7.81,6.390000000000001,136.33,8.629999999999999,13.2,14.340000000000002,0.49,24.840000000000003,2.1999999999999997,28.6
1922-01-31,55.66,24.040000000000003,0.0,0.0,1.54,8.360000000000001,3.53,0.57,1.2300000000000002,1.6000000000000003,0.43,5.309999999999999,1.07,1.89,5.869999999999999,0.9,2.81,10.819999999999997,2.93,1.4700000000000002,1.8700000000000003,0.6800000000000002,0.23,0.29,0.42,5.669999999999999,0.19,0.36,2.24,0.49,5.52,3.37,8.4,1.3100000000000005,12.29,0.55,7.510000000000001,0.38,0.44,1.97,0.24,19.1,4.949999999999999,0.96,8.74,0.0,2.15,0.0,1.82,5.120000000000002,1.34,3.96,4.94,26.75,6.569999999999999,1.71,7.14,2.92,4.700000000000001,11.51,3.97,9.720000000000002,9.119999999999996,1.37,5.5,31.02,7.550000000000001,9.55,14.340000000000002,1.5,6.149999999999999,0.67,4.32,8.819999999999999,7.040000000000002,5.840000000000001,0.31,2.43,0.31,2.5,10.930000000000003,5.26,7.81,6.5,136.33,8.629999999999999,13.2,14.340000000000002,0.49,24.840000000000003,2.1999999999999997,28.6
1922-02-28,69.56999999999998,28.01,0.0,0.0,1.79,9.77,3.67,0.6,1.39,1.6500000000000004,0.45,5.55,1.11,2.11,6.26,0.94,3.2400000000000007,12.18,3.05,1.8000000000000005,2.27,2.14,0.36,0.9200000000000002,1.3200000000000005,6.400000000000001,0.7000000000000002,1.3200000000000005,2.68,0.51,6.28,3.98,8.74,2.26,12.73,0.57,7.930000000000001,0.44,0.46,2.22,0.25,14.079999999999997,4.949999999999999,1.73,8.74,0.05,2.15,0.17,1.82,5.120000000000002,1.65,3.96,4.94,26.75,6.569999999999999,2.44,7.14,2.92,4.700000000000001,11.51,3.97,9.720000000000002,9.119999999999996,1.93,5.5,31.02,7.550000000000001,9.55,14.340000000000002,1.5,6.149999999999999,1.04,4.32,8.819999999999999,7.040000000000002,5.840000000000001,0.75,2.43,0.77,2.5,10.930000000000003,5.26,7.81,6.4,136.33,8.629999999999999,13.2,14.340000000000002,0.49,24.840000000000003,2.1999999999999997,28.6
1922-03-31,65.85,26.950000000000003,0.24,0.0,3.35,11.249999999999998,4.29,0.61,1.7300000000000002,2.0,0.46,6.050000000000001,1.13,2.6099999999999994,6.08,0.96,4.22,13.879999999999995,3.11,2.52,3.1900000000000004,3.3100000000000005,1.23,1.4200000000000004,2.04,6.779999999999999,1.7200000000000004,3.2100000000000004,2.56,0.52,9.63,3.82,8.91,5.22,14.07,0.58,8.670000000000003,0.56,0.47,2.73,0.25,24.35,4.949999999999999,5.32,8.74,1.22,2.15,1.09,1.82,5.120000000000002,2.94,3.96,4.94,26.75,6.569999999999999,5.62,7.14,2.92,4.700000000000001,11.51,3.97,9.720000000000002,9.119999999999996,4.35,5.5,31.02,7.550000000000001,9.55,14.340000000000002,1.5,6.149999999999999,3.55,4.32,8.819999999999999,7.040000000000002,5.840000000000001,2.04,2.43,2.1,2.5,10.930000000000003,5.26,7.81,6.4,136.33,8.629999999999999,13.2,14.340000000000002,0.49,24.840000000000003,2.1999999999999997,28.6
1922-04-30,115.35,42.19,1.4000000000000004,0.99,5.85,20.41,6.38,0.64,3.25,3.81,0.48,8.13,1.2,4.800000000000001,7.529999999999999,1.01,8.5,22.93,3.29,5.710000000000001,7.22,11.260000000000002,2.15,4.83,6.929999999999999,9.62,4.69,8.78,4.12,0.55,14.19,5.999999999999999,9.43,10.289999999999996,24.1,0.61,11.490000000000002,0.71,0.49,3.58,0.27,35.93,4.949999999999999,10.9,8.74,3.26,2.15,2.7,1.82,5.120000000000001,5.19,3.96,4.94,26.75,6.570000000000001,9.81,7.14,2.92,4.699999999999999,11.51,3.97,9.72,9.12,7.53,5.5,31.02,7.55,9.55,14.34,1.5,6.149999999999999,6.2,4.32,8.819999999999999,7.040000000000001,5.840000000000001,3.43,2.43,3.53,2.5,10.93,5.48,7.81,6.52,138.84,8.63,12.919999999999998,14.34,0.48,24.84,2.2,28.6
1922-05-31,143.22,47.71,3.21,3.65,8.48,35.02,9.63,0.63,5.25,5.76,0.48,10.79,1.18,7.68,8.42,0.99,14.12,32.68,3.23,9.9,12.52,19.67,2.92,8.44,12.1,11.64,7.9,14.78,4.99,0.54,20.31,7.229999999999999,9.26,12.69,30.537,0.6,14.09,0.8599999999999999,0.49,4.37,0.26,50.77,4.949999999999999,17.22,8.74,5.05,2.15,4.11,1.82,5.120000000000001,7.16,3.96,4.94,26.75,6.570000000000001,12.79,7.14,2.92,4.699999999999999,11.51,3.97,9.72,9.12,9.8,5.5,31.02,7.55,9.55,14.34,1.5,6.149999999999999,8.42,4.32,8.819999999999999,7.040000000000001,5.840000000000001,4.89,2.43,5.03,2.5,10.93,5.48,7.81,6.3,138.84,8.63,12.919999999999998,14.34,0.48,24.84,2.2,28.6
1922-06-30,183.93,59.02,5.249999999999999,5.969999999999999,9.78,50.47,11.403599999999996,0.64,6.67,7.22,0.48,12.87,1.2,9.73,9.27,1.01,18.12,40.85,3.29,12.88,16.29,26.74,3.36,11.470000000000002,16.45,13.679999999999998,11.260000000000002,21.07,6.2700000000000005,0.55,28.32,9.03,9.43,17.2,38.39,0.61,16.309999999999995,1.1,0.49,5.300000000000001,0.27,57.96999999999999,4.949999999999999,22.14,8.74,5.84,2.15,4.73,1.82,5.120000000000001,8.03,3.96,4.94,26.75,6.570000000000001,15.13,7.14,2.92,4.699999999999999,11.51,3.97,9.72,9.12,11.58,5.5,31.02,7.55,9.55,14.34,1.5,6.149999999999999,9.69,4.32,8.819999999999999,7.040000000000001,5.840000000000001,5.52,2.43,5.67,2.5,10.93,5.48,7.81,6.52,138.84,8.63,12.919999999999998,14.34,0.48,24.84,2.2,28.6
1922-07-31,188.69,60.34,6.85,7.0,9.62,58.09,11.8966,0.75,7.779999999999999,7.67,0.56,13.779999999999998,1.39,11.340000000000002,9.46,1.18,21.27,42.83,3.83,15.22,19.250000000000004,30.76,3.1,13.2,18.92,14.44,12.7,23.78,6.42,0.64,28.9,9.24,10.97,18.320000000000004,42.48,0.71,17.599999999999998,1.15,0.58,5.500000000000001,0.31,65.92,4.949999999999999,20.95,8.74,5.65,2.15,4.58,1.82,5.120000000000001,7.82,3.96,4.94,26.75,6.370000000000001,14.41,7.14,2.92,4.699999999999999,11.51,3.97,9.72,9.12,11.03,5.5,31.02,7.55,9.55,14.34,1.5,6.149999999999999,8.93,4.32,8.819999999999999,7.040000000000001,5.840000000000001,4.98,2.43,5.12,2.5,10.93,5.48,7.81,6.549999999999999,138.84,8.63,12.919999999999998,14.34,0.48,24.84,2.2,28.6
