date,WTP101-U101,WTP201-U201,WTP203-U203,WTP204-U204,WTP205-U205,WTP207-U207,WTP208-U208,WTP209-U209,WTP210-U210,WTP301-U301,WTP302-U302,WTP304-U304,WTP305-U305,WTP401-U401,WTP402-U402,WTP405-U405,WTP406-U406,WTP407-U407,WTP410-U410,WTP501-U501,WTP502-U502,WTP503-U503,WTP504-U504,WTP505-U505,WTP506-U506,WTP507-U507,WTP508-U508,WTP509-U509,WTP510-U510,WTP511-U511
1921-10-31,6.94,6.55,0.0,58.25,14.327000000000002,0.0,7.66,21.57,0.0,18.28,0.0,57.59,0.0,26.47,2.12,0.0,17.12,0.0,12.0,0.0,18.72,13.62,243.26696553429872,0.0,17.683,0.0,1.1800000000000002,60.61900000000001,5.7700000000000005,63.60555029249846
1921-11-30,5.42,5.12,0.0,44.45,11.907,0.0,6.0600000000000005,18.78,0.0,17.0,0.0,48.08,0.0,20.01,1.75,0.0,14.21,0.0,12.0,4.706,12.77,11.34,119.363,0.0,29.78,0.0,1.06,50.93600000000001,4.970000000000001,51.798
1921-12-31,5.07,5.12,0.0,37.57,10.947,0.0,5.260000000000001,18.0,0.0,16.42,0.0,44.04,0.0,16.63,1.5,0.0,12.94,0.0,12.0,4.805,8.770000000000001,10.69,102.472,0.0,25.88,0.0,0.91,47.26700000000001,4.33,46.355
1922-01-31,4.95,5.12,0.0,35.11,10.557,0.0,5.03,17.89,0.0,16.490000000000002,0.0,43.44,0.0,15.02,1.73,0.0,12.71,0.0,11.29,4.562,7.81,9.87,81.33799999999998,0.0,23.01,0.0,0.87,40.086000000000006,4.17,39.374
1922-02-28,4.95,5.12,0.0,36.52,10.727,0.0,6.800000000000001,18.17,0.0,16.92,0.0,39.25799999999997,0.0,16.48,1.86,0.0,13.44,0.0,12.0,4.704,9.1,10.38,104.118,0.0,23.76,0.0,0.93,43.383,4.42,35.108000000000004
1922-03-31,5.19,5.12,0.0,38.0,11.357,0.0,7.16,18.69,0.0,16.76,0.0,29.02,0.0,17.65,2.73,0.0,13.82,0.0,12.0,1.689,11.920000000000002,10.22,91.156,0.0,24.82,0.0,1.05,42.513000000000005,4.93,44.004000000000005
1922-04-30,6.3500000000000005,6.11,0.0,47.16,13.477,0.0,8.989999999999998,20.84,6.093,18.26,0.0,24.761,0.0,25.6,3.65,0.0,16.66,0.0,12.0,0.0,16.66,12.52,142.791,0.0,17.6971231555042,0.0,1.19,55.325,5.78,54.268
1922-05-31,8.16,8.77,0.0,61.77,16.717,0.0,10.94,23.48,1.6500000000000004,19.130000000000003,0.0,39.68600000000001,0.0,34.010000000000005,4.42,0.0,18.68,0.0,12.0,0.0,22.6,13.53,165.02299999999997,0.0,17.917,0.0,1.34,20.23799999999998,6.57,67.275
1922-06-30,0.0,11.09,0.0,77.22,18.5006,0.0,12.4,25.58,3.700000000000001,20.0,0.0,49.44800000000005,0.0,41.08,4.859999999999999,0.0,20.72,0.0,12.0,0.0,30.79,15.55,205.755,0.0,25.880000000000003,0.0,1.58,27.193,7.500000000000001,31.27792869032696
1922-07-31,0.0,12.12,0.0,36.040000000000006,18.9036,0.0,12.93,26.68,5.3100000000000005,20.36,0.0,51.167000000000016,0.0,45.1,4.6,0.0,21.48,0.0,12.0,0.0,31.19,15.79,208.324,0.0,29.97,0.0,1.63,19.789999999999992,7.7,31.948903060168124
1922-08-31,0.0,11.88,0.0,35.11,18.8496,0.0,10.86,26.36,4.8100000000000005,20.08,0.0,50.61499999999997,0.0,42.68,3.86,0.0,20.81,0.0,12.0,0.0,30.770000000000003,16.34,220.132,0.0,27.620000000000005,0.0,1.47,37.16099999999999,7.23,33.60007924322208
1922-09-30,0.0,9.28,0.0,23.61,16.777,0.0,9.510000000000002,24.35,2.5,19.51,0.0,37.27546747464349,0.0,35.980000000000004,2.8200000000000003,0.0,19.19,0.0,12.0,0.0,26.370000000000005,14.9,193.142,0.0,20.46,0.0,1.38,65.34100000000001,6.78,44.50525923350647
1922-10-31,0.0,6.55,0.0,9.45,14.327000000000002,0.0,7.66,21.57,0.0,18.28,0.0,33.37429800638039,0.0,26.47,2.12,0.0,17.12,0.0,12.0,0.0,18.72,13.4,162.31599999999997,0.0,19.710550292498453,0.0,1.1800000000000002,61.40200000000001,5.7700000000000005,62.676
1922-11-30,0.0,5.12,0.0,0.0,11.907,0.0,6.0600000000000005,18.78,0.0,17.0,0.0,17.48123451897625,0.0,20.01,1.75,0.0,14.21,0.0,12.0,4.706,12.77,11.34,114.93099999999998,0.0,29.78,0.0,1.06,48.522000000000006,4.970000000000001,50.043000000000006
1922-12-31,0.0,5.12,0.0,37.57,10.947,0.0,5.260000000000001,18.0,0.0,16.42,0.0,4.697000000000038,0.0,16.63,1.5,0.0,12.94,0.0,12.0,4.805,8.770000000000001,10.69,100.45599999999996,0.0,25.88,0.0,0.91,45.062000000000005,4.33,44.744
1923-01-31,0.0,5.12,0.0,35.11,10.557,0.0,5.03,17.89,0.0,16.490000000000002,0.0,3.853999999999985,0.0,15.02,1.73,0.0,12.71,0.0,11.29,4.562,7.81,9.68,90.43699999999995,0.0,23.01,0.0,0.87,44.64900000000001,4.17,42.605
1923-02-28,0.0,5.12,0.0,0.0,10.727,0.0,6.800000000000001,18.17,0.0,16.92,0.0,3.118999999999957,0.0,16.48,1.86,0.0,13.44,0.0,12.0,4.704,9.1,10.38,113.802,0.0,23.76,0.0,0.93,48.288,4.42,38.069
1923-03-31,0.0,5.12,0.0,0.0,11.357,0.0,7.16,18.69,0.0,16.76,0.0,9.06499999999999,0.0,14.0,2.73,0.0,13.82,0.0,12.0,1.689,11.920000000000002,10.22,100.69599999999998,0.0,24.82,0.0,1.05,47.328,4.93,47.523
1923-04-30,0.0,6.11,0.0,0.0,13.477,0.0,8.989999999999998,20.84,0.0,18.26,0.0,25.30999999999997,0.0,14.0,3.65,0.0,16.66,0.0,12.0,0.0,16.66,12.52,154.374,0.0,16.893,0.0,1.19,59.126000000000005,5.78,51.49999999999999
1923-05-31,0.0,8.77,0.0,12.969999999999995,16.717,0.0,10.94,23.48,1.6500000000000004,19.130000000000003,0.0,40.253000000000014,0.0,14.0,4.42,0.0,18.68,0.0,12.0,0.0,22.6,13.53,177.73999999999995,0.0,17.917,0.0,1.34,47.88199999999999,6.57,37.28110723350652
1923-06-30,0.0,11.09,0.0,28.42,18.5006,0.0,12.4,25.58,3.700000000000001,20.0,0.0,49.29500000000003,0.0,14.0,4.859999999999999,0.0,20.72,0.0,12.0,0.0,21.454025143498253,15.55,220.13700000000003,0.0,25.880000000000003,0.0,1.58,27.166,7.500000000000001,30.071928690326963
1923-07-31,0.0,12.12,0.0,36.040000000000006,18.9036,0.0,12.93,26.68,5.3100000000000005,20.36,0.0,51.869000000000014,0.0,14.0,4.6,0.0,21.48,0.0,12.0,0.0,31.19,15.79,222.967,0.0,29.97,0.0,1.63,19.754000000000005,7.7,30.634903060168124
1923-08-31,0.0,11.88,0.0,35.11,18.8496,0.0,10.86,26.36,4.8100000000000005,20.08,0.0,49.12100000000005,0.0,14.0,3.86,0.0,20.81,0.0,12.0,0.0,22.18654544777339,16.34,235.306,0.0,27.620000000000005,0.0,1.47,37.12499999999999,7.23,32.25907924322208
1923-09-30,0.0,9.28,0.0,23.61,16.777,0.0,9.510000000000002,24.35,2.5,19.51,0.0,34.87970199361956,0.0,14.0,2.8200000000000003,0.0,19.19,0.0,12.0,0.0,9.7613671900032,14.9,206.97500000000005,0.0,20.46,0.0,1.38,72.685,6.78,35.88325923350648
1923-10-31,0.0,6.55,0.0,9.45,14.327000000000002,0.0,7.66,21.57,0.0,18.28,0.0,35.62429800638039,0.0,14.0,2.12,0.0,17.12,0.0,12.0,0.0,13.10998193283619,13.4,174.90699999999998,0.0,17.476554967100576,0.0,1.1800000000000002,57.58855029249845,5.7700000000000005,67.365
