date,INFLOW-SR_BER,INFLOW-SR_BLB,INFLOW-SR_BUC,INFLOW-SR_BUL,INFLOW-SR_CFW,INFLOW-SR_CLE,INFLOW-SR_CLK_INV,INFLOW-SR_CRW,INFLOW-SR_DNP,INFLOW-SR_FOL,INFLOW-SR_GNT,INFLOW-SR_HID,INFLOW-SR_HTH,INFLOW-SR_ISB,INFLOW-SR_LL_ENR,INFLOW-SR_LVQ,INFLOW-SR_MCR,INFLOW-SR_MIL,INFLOW-SR_NHG,INFLOW-SR_NML,INFLOW-SR_PAR,INFLOW-SR_PNF,INFLOW-SR_RLL_CMB,INFLOW-SR_SCAGG,INFLOW-SR_SCC,INFLOW-SR_SHA,INFLOW-SR_TRM,INFLOW-SR_TUL,INFLOW-SR_WHI
1921-10-31,0.0,4.4,0.0,16.8,0.0,10.2,3.607,9.3,4.7,8.5,4.2,0.2,1.0,13.2,0.1,0.0,3.1,66.4,0.0,5.9,2.3,14.0,2.7,9.6,0.9,230.0,2.5,0.0,0.6
1921-11-30,0.0,5.2,0.0,20.9,0.0,20.5,4.364,9.5,5.3,20.0,4.3,0.3,0.7,13.0,0.1,0.0,3.5,50.7,0.1,4.5,2.4,12.1,4.2,16.4,1.4,235.0,2.5,0.01,3.3
1921-12-31,33.8,14.9,11.7,36.3,1.56,34.9,37.915,10.0,46.9,65.2,4.6,8.9,4.6,21.6,5.5,0.09,44.1,83.1,12.9,22.1,12.4,53.9,10.6,15.2,5.7,332.0,13.1,1.94,25.6
1922-01-31,8.3,15.1,10.0,49.9,0.71,29.7,10.986,11.0,45.3,53.2,4.3,7.9,12.9,30.7,15.6,0.2,40.2,91.6,14.1,32.4,22.5,63.1,13.5,35.2,9.4,299.0,17.3,2.12,30.2
1922-02-28,125.5,81.8,41.3,73.2,9.93,43.3,146.266,11.9,171.0,154.4,3.8,34.4,15.3,33.8,11.7,1.1,163.2,121.2,102.3,90.2,67.1,81.7,36.4,35.6,12.1,542.0,26.6,15.38,30.1
1922-03-31,33.2,42.6,25.2,103.6,5.73,72.5,65.199,14.0,137.6,125.0,4.7,26.9,26.9,52.4,21.9,0.14,117.3,112.8,39.4,97.5,60.2,92.1,36.4,22.0,14.2,604.0,30.9,5.92,26.4
1922-04-30,13.9,47.2,12.7,201.1,0.76,150.3,43.723,21.9,147.0,172.1,10.4,20.1,58.9,84.4,57.1,0.01,124.3,183.5,27.2,165.3,110.2,159.9,51.5,9.5,16.3,772.0,50.5,4.09,77.9
1922-05-31,3.4,36.4,5.1,492.7,0.0,260.2,18.057,18.4,236.4,417.1,34.5,16.1,291.9,242.0,190.2,0.0,416.5,406.1,8.6,477.9,334.8,660.4,99.8,2.9,32.0,623.0,155.0,1.29,40.9
1922-06-30,0.7,16.7,1.5,316.7,0.0,107.4,18.179,37.7,157.6,347.1,48.9,4.8,392.3,202.0,202.4,0.0,400.4,660.0,2.2,353.7,284.0,706.5,29.0,0.3,9.1,335.0,118.0,0.34,8.5
1922-07-31,0.0,5.3,0.1,64.0,0.0,19.0,17.789,29.8,32.6,67.7,31.3,2.5,111.9,88.7,50.1,0.0,86.3,305.7,0.4,76.1,39.8,225.8,8.3,1.0,2.3,238.0,31.1,0.06,8.5
1922-08-31,0.0,2.4,0.0,28.3,0.0,6.6,15.516,14.8,7.5,12.3,12.6,0.6,16.3,37.1,3.4,0.0,15.5,126.8,0.0,18.9,3.1,71.3,5.7,0.0,1.7,212.0,9.0,0.0,1.1
1922-09-30,0.0,0.9,0.0,16.8,0.19,3.4,10.742,11.7,5.6,5.5,5.8,0.1,3.6,23.8,1.2,0.0,6.1,103.0,0.0,7.6,1.1,26.4,3.4,1.1,1.6,200.0,4.6,0.0,0.1
1922-10-31,0.0,5.6,0.0,23.0,0.39,16.7,9.13,11.7,7.4,10.5,3.5,0.2,1.8,17.8,1.4,0.0,5.8,76.1,0.2,5.9,3.5,14.3,4.7,5.1,1.8,230.0,4.1,0.03,3.5
1922-11-30,12.9,17.4,1.1,31.1,0.74,19.9,18.874,12.6,18.8,21.4,3.6,2.2,4.6,19.8,8.4,0.02,16.0,67.7,5.2,13.7,11.0,23.3,7.8,13.2,3.8,252.0,7.8,0.78,8.3
1922-12-31,133.8,58.7,13.9,93.0,8.38,35.8,115.952,14.5,84.3,145.9,3.9,16.0,17.8,28.3,24.7,0.6,58.3,111.7,60.5,67.9,64.5,64.7,37.5,19.6,10.0,333.0,20.3,9.09,35.7
