date,WTP101-U101,WTP201-U201,WTP203-U203,WTP204-U204,WTP205-U205,WTP207-U207,WTP208-U208,WTP209-U209,WTP210-U210,WTP301-U301,WTP302-U302,WTP304-U304,WTP305-U305,WTP401-U401,WTP402-U402,WTP405-U405,WTP406-U406,WTP407-U407,WTP410-U410,WTP501-U501,WTP502-U502,WTP503-U503,WTP504-U504,WTP505-U505,WTP506-U506,WTP507-U507,WTP508-U508,WTP509-U509,WTP510-U510,WTP511-U511
1921-10-31,0.0,6.55,0.0,38.42899083195596,14.327000000000002,0.0,9.36,21.57,9.31,18.28,0.0,57.59,0.0,26.47,2.12,0.0,17.12,0.0,12.0,0.0,18.72,13.62,162.33999999999995,0.0,18.011,0.0,1.28,59.14655029249848,5.7700000000000005,65.44999999999999
1921-11-30,0.0,5.12,0.0,13.150000000000002,11.907,0.0,7.760000000000001,18.78,7.01,17.0,0.0,48.08,0.0,20.01,1.75,0.0,14.21,0.0,12.0,4.968,13.41,11.47,117.47,0.0,30.9,0.0,1.11,50.43,4.970000000000001,52.55
1921-12-31,0.0,5.12,0.0,6.27,10.947,0.0,6.700000000000001,18.0,6.16,16.42,0.0,44.04,0.0,16.63,1.5,0.0,12.94,0.0,12.0,5.048,9.18,10.8,101.07,0.0,26.78,0.0,0.96,46.830000000000005,4.33,47.22
1922-01-31,0.0,5.12,0.0,3.809999999999999,10.557,0.0,6.73,17.89,5.86,16.490000000000002,0.0,43.44,0.0,15.02,1.73,0.0,12.71,0.0,11.29,4.7780000000000005,7.81,9.87,80.42999999999999,0.0,23.73,0.0,0.93,40.260000000000005,4.17,40.14
1922-02-28,0.0,5.12,0.0,36.52,10.727,0.0,6.800000000000001,18.17,6.08,16.92,0.0,31.429000000000016,0.0,16.48,1.86,0.0,13.44,0.0,12.0,4.938,9.66,10.38,102.73000000000002,0.0,24.51,0.0,0.97,43.59,4.42,35.790000000000006
1922-03-31,0.0,5.12,0.0,6.699999999999999,11.357,0.0,7.16,18.69,6.58,16.76,0.0,23.02,0.0,17.65,2.73,0.0,13.82,0.0,12.0,1.918,12.52,10.32,89.89999999999999,0.0,25.65,0.0,1.1,42.71,4.93,44.7
1922-04-30,6.3500000000000005,6.11,0.0,47.16,13.477,0.0,8.989999999999998,20.84,8.77,18.26,0.0,23.77699999999996,0.0,25.6,3.65,0.0,16.66,0.0,12.0,0.0,16.66,12.52,140.21,0.0,19.34912315550418,0.0,1.29,53.970000000000006,5.78,54.760000000000005
1922-05-31,8.16,8.77,0.0,44.7,16.717,0.0,10.94,23.48,11.65,19.130000000000003,0.0,39.39200000000002,0.0,34.010000000000005,4.42,0.0,18.68,0.0,12.0,0.0,22.6,13.75,162.19,0.0,19.160000000000004,0.0,1.46,19.581999999999983,6.57,67.62
1922-06-30,0.0,11.09,0.0,77.22,18.6266,0.0,12.4,25.58,13.7,20.0,0.0,49.41500000000004,0.0,41.08,4.859999999999999,0.0,20.72,0.0,12.0,0.0,21.4736895023414,15.55,202.55,0.0,31.239999999999995,0.0,1.66,0.0,7.500000000000001,54.20792869032696
1922-07-31,0.0,12.12,0.0,53.540000000000006,19.0366,0.0,12.93,26.68,15.31,20.36,0.0,51.06699999999999,0.0,45.1,4.6,0.0,21.48,0.0,12.0,0.0,31.19,15.79,205.06,0.0,35.83,0.0,1.71,0.0,7.7,47.08490306016812
1922-08-31,0.0,11.88,0.0,52.61,18.9766,0.0,12.56,26.36,14.81,20.08,0.0,34.77073314067364,0.0,42.68,3.86,0.0,20.81,0.0,12.0,0.0,30.770000000000003,16.34,216.75,0.0,33.19,0.0,1.6,32.20499999999999,7.23,34.170079243222084
1922-09-30,0.0,9.28,0.0,41.11,16.777,0.0,11.21,24.35,12.5,19.51,0.0,22.796262626262624,0.0,35.980000000000004,2.8200000000000003,0.0,19.19,0.0,12.0,0.0,26.370000000000005,14.9,190.06000000000003,0.0,25.129999999999995,0.0,1.51,66.74,6.78,39.49425923350649
1922-10-31,0.0,6.55,0.0,26.95,14.327000000000002,0.0,9.36,21.57,9.31,18.28,0.0,27.88429800638039,0.0,26.47,2.12,0.0,17.12,0.0,12.0,0.0,13.167574883869936,13.62,159.51,0.0,21.69755029249845,0.0,1.28,59.91000000000001,5.7700000000000005,63.09
1922-11-30,0.0,5.12,0.0,13.150000000000002,11.907,0.0,7.760000000000001,18.78,7.01,17.0,0.0,21.663876486752116,0.0,20.01,1.75,0.0,14.21,0.0,12.0,4.968,13.41,11.34,115.09,0.0,29.78,0.0,1.11,48.77,4.970000000000001,50.60000000000001
1922-12-31,0.0,5.12,0.0,37.57,10.947,0.0,6.700000000000001,18.0,6.16,16.42,0.0,16.50982973993124,0.0,16.63,1.5,0.0,12.94,0.0,12.0,5.048,9.18,10.8,98.83,0.0,8.914726657772329,0.0,0.96,45.28,4.33,45.43000000000001
1923-01-31,0.0,5.12,0.0,35.11,10.557,0.0,6.73,17.89,5.86,16.490000000000002,0.0,9.52,0.0,15.02,1.73,0.0,12.71,0.0,11.29,4.7780000000000005,7.81,9.87,90.54,0.0,23.73,0.0,0.93,45.33,4.17,43.73
1923-02-28,0.0,5.12,0.0,5.219999999999995,10.727,0.0,6.800000000000001,18.17,6.08,16.92,0.0,6.66,0.0,16.48,1.86,0.0,13.44,0.0,12.0,4.938,9.49,10.38,113.49,0.0,23.76,0.0,0.97,49.04,4.42,39.080000000000005
1923-03-31,0.0,5.12,0.0,6.699999999999999,11.357,0.0,7.16,18.69,6.58,16.76,0.0,9.52,0.0,17.65,2.73,0.0,13.82,0.0,12.0,1.918,12.52,10.32,100.5,0.0,24.82,0.0,1.1,48.06,4.93,48.61
1923-04-30,0.0,6.11,0.0,47.16,13.477,0.0,8.989999999999998,20.84,8.77,18.26,0.0,24.38699999999997,0.0,25.6,3.65,0.0,16.66,0.0,12.0,0.0,4.501351529921482,12.52,153.08,0.0,12.150000000000006,0.0,1.29,51.63100000000001,5.78,59.38
1923-05-31,0.0,8.77,0.0,61.77,16.717,0.0,10.94,23.48,11.65,19.130000000000003,0.0,40.02200000000002,0.0,34.010000000000005,4.42,0.0,18.68,0.0,12.0,0.0,0.0,13.75,176.32,0.0,19.160000000000004,0.0,1.46,45.88610723350648,6.57,38.84
1923-06-30,0.0,11.09,0.0,45.92,18.6266,0.0,12.4,25.58,13.7,20.0,0.0,49.24499999999996,0.0,14.0,4.859999999999999,0.0,20.72,0.0,12.0,0.0,0.0,15.55,218.53,0.0,31.239999999999995,0.0,1.66,0.0,7.500000000000001,52.83792869032696
1923-07-31,0.0,12.12,0.0,36.040000000000006,19.0366,0.0,12.93,26.68,15.31,20.36,0.0,43.35462808097813,0.0,14.0,4.6,0.0,21.48,0.0,12.0,0.0,31.19,15.79,221.33,0.0,35.83,0.0,1.71,0.0,7.7,45.58490306016812
1923-08-31,0.0,11.88,0.0,52.61,18.9766,0.0,12.56,26.36,14.81,20.08,0.0,29.00999999999999,0.0,14.0,3.86,0.0,20.81,0.0,12.0,0.0,22.3772612877734,16.34,223.56,0.0,33.19,0.0,1.6,0.0,7.23,64.84507924322207
1923-09-30,0.0,9.28,0.0,41.11,16.777,0.0,9.510000000000002,24.35,12.5,19.51,0.0,22.11,0.0,14.0,2.8200000000000003,0.0,19.19,0.0,12.0,0.0,9.8433671900032,14.9,197.00000000000003,0.0,25.129999999999995,0.0,1.51,68.554,6.78,36.26025923350648
1923-10-31,0.0,6.55,0.0,26.95,14.327000000000002,0.0,9.36,21.57,9.31,18.28,0.0,16.88429800638039,0.0,14.0,2.12,0.0,17.12,0.0,12.0,0.0,13.17098193283619,13.62,173.49999999999994,0.0,16.189999999999998,0.0,1.28,67.28000000000002,5.7700000000000005,58.12655029249844
1923-11-30,0.0,5.12,0.0,13.150000000000002,11.907,0.0,7.760000000000001,18.78,7.01,17.0,0.0,14.463876486752111,0.0,14.0,1.75,0.0,14.21,0.0,12.0,4.968,13.41,11.34,126.81000000000004,0.0,6.669999999999998,0.0,1.11,54.8,4.970000000000001,54.92
1923-12-31,0.0,5.12,0.0,6.27,10.947,0.0,5.260000000000001,18.0,6.16,16.42,0.0,26.76157227038781,0.0,14.0,1.5,0.0,12.94,0.0,12.0,5.048,9.18,10.8,109.88,0.0,2.77,0.0,0.96,50.92,4.33,49.39
1924-01-31,0.0,5.12,0.0,3.809999999999999,10.557,0.0,5.03,17.89,5.86,16.490000000000002,0.0,35.921659481679505,0.0,0.0,1.73,0.0,12.71,0.0,11.29,4.7780000000000005,7.81,9.87,92.71999999999998,0.0,1.98,0.0,0.93,46.38,4.17,44.38
1924-02-29,0.0,5.12,0.0,5.219999999999995,10.727,0.0,6.800000000000001,18.17,6.08,16.92,0.0,17.73861306472164,0.0,0.0,1.86,0.0,13.44,0.0,12.0,4.938,9.49,10.38,115.81,0.0,0.6499999999999986,0.0,0.97,50.17,4.42,39.67
1924-03-31,0.0,5.12,0.0,6.699999999999999,11.357,0.0,7.16,18.69,6.58,16.76,0.0,9.52,0.0,0.0,2.73,0.0,13.82,0.0,12.0,1.918,0.0,10.22,102.78000000000002,0.0,1.7100000000000009,0.0,1.1,49.17,4.93,49.32000000000001
1924-04-30,0.0,6.11,0.0,15.859999999999996,13.477,0.0,8.989999999999998,20.84,8.77,18.26,0.0,10.209999999999994,0.0,0.0,3.65,0.0,16.66,0.0,12.0,0.0,0.0,12.52,155.85,0.0,12.150000000000006,0.0,1.29,48.591,5.78,60.22
1924-05-31,0.0,8.77,0.0,30.469999999999995,16.717,0.0,10.94,23.48,11.65,19.130000000000003,0.0,19.89999999999999,0.0,0.0,4.42,0.0,18.68,0.0,12.0,0.0,0.0,13.75,179.35999999999996,0.0,19.160000000000004,0.0,1.46,45.88610723350648,6.57,36.35
1924-06-30,0.0,11.09,0.0,45.92,18.6266,0.0,12.4,25.58,13.7,20.0,0.0,28.129999999999995,0.0,0.0,4.859999999999999,0.0,20.72,0.0,12.0,0.0,0.0,15.55,212.78,0.0,31.239999999999995,0.0,1.66,0.0,7.500000000000001,50.10792869032695
1924-07-31,0.0,12.12,0.0,53.540000000000006,19.0366,0.0,12.93,26.68,15.31,20.36,0.0,30.65000000000001,0.0,0.0,4.6,0.0,21.48,0.0,12.0,0.0,31.19,15.79,215.41,0.0,35.83,0.0,1.71,0.0,7.7,42.60490306016813
