date,GW_01-HGP01,GW_02-HGP02,GW_03-HGP03,GW_04-HGP04,GW_05-HGP05,GW_06-HGP06,GW_07-HGP07,GW_08-HGP08,GW_09-HGP09,GW_10-HGP10,GW_11-HGP11,GW_12-HGP12,GW_13-HGP13,GW_14-HGP14,GW_15-HGP15,GW_16-HGP16,GW_17-HGP17,GW_18-HGP18,GW_19-HGP19,GW_20-HGP20,GW_21-HGP21,GW_AV-HGPAV,GW_CH-HGPCH,GW_EW-HGPEW,GW_HF-HGPHF,GW_IM-HGPIM,GW_IM-SINK,GW_MJ-HGPMJ,GW_MWD-HGPMWD,GW_OW-HGPOW,GW_SBV-HGPSBV,GW_SC-HGPSC,GW_SD-HGPSD,GW_VC-HGPVC
1921-10-31,6.94,11.18,2.36,2.11,5.79,7.943,31.3,6.68934588701685,10.2,7.9,18.67,14.04,17.76,3.1006910167818367,6.11,0.0,11.35,17.23,56.44,10.79,38.98,0.0,27.07,2.793449707501537,0.0,0.0,0.0,18.16,100.8,2.88,21.289,0.0,0.0,11.451999999999998
1921-11-30,5.42,10.09,2.15,1.82,5.34,6.773000000000001,31.3,4.949999999999999,8.959999999999999,6.96,14.170000000000002,10.69,13.53,1.50542941757157,5.04,0.0,8.58,13.01,55.7,8.16,33.3,0.0,25.54,0.0,0.0,0.0,0.0,14.239999999999998,97.6,0.0,0.0,0.0,0.0,4.112
1921-12-31,5.07,8.74,2.15,1.82,3.96,5.053000000000001,31.3,4.359999999999999,7.14,5.5,12.510000000000002,9.46,11.96,2.031589338598223,4.32,0.0,7.130000000000001,10.93,55.43,6.46,29.85,0.0,23.3,0.0,0.0,0.0,0.0,11.31,100.8,0.0,0.0,0.0,0.0,3.5619999999999994
1922-01-31,4.95,9.7,2.15,1.82,5.3,6.593000000000001,15.009999999999998,4.15,8.85,6.87,11.93,9.02,11.420000000000002,2.267522211253702,4.99,0.0,6.44,9.49,55.74,6.03,30.06,0.0,21.85,0.0,0.0,0.0,0.0,9.94,100.8,0.0,0.0,0.0,0.0,3.1919999999999997
1922-02-28,4.95,10.47,2.2,1.99,5.609999999999999,6.843000000000001,31.3,4.3100000000000005,9.58,7.43,12.36,9.35,11.82,2.3919052319842056,5.36,0.0,7.07,10.39,56.18,6.54,30.77,0.0,22.27,0.0,0.0,0.0,0.0,10.89,91.1,0.0,0.0,13.490999999999984,0.0,0.0
1922-03-31,5.19,14.06,3.37,2.91,6.9,8.403,0.0,4.65,12.76,9.85,13.34,10.07,12.74,2.638696939782824,7.87,0.0,7.57,10.86,57.47,7.56,33.99,0.0,23.01,0.0,0.0,0.0,0.0,13.85,100.8,0.22,0.0,23.66,0.0,0.0
1922-04-30,0.0,19.64,8.783981403212156,4.5200000000000005,9.15,24.705397602397625,31.3,26.89027750247773,16.95,13.03,17.62,13.259999999999998,16.770000000000003,3.1076011846001985,114.77505257249096,0.0,10.98,16.15,58.86,10.53,40.99,0.0,25.83,0.0,0.0,0.0,0.0,18.92,97.6,9.33,15.910876844495824,32.13300000000004,0.0,19.872
1922-05-31,0.0,43.50710000000001,28.32968723584109,5.930000000000001,11.12,99.233,31.3,138.1162438057483,19.93,30.74389395441027,23.24,17.45,22.07,53.85756725009665,207.19000000000003,0.0,14.59,68.17177891378466,60.32,13.74,48.49,0.0,28.43,13.472000000000016,0.0,0.0,0.0,21.32,100.8,15.84,23.11,26.20799999999997,27.546,37.152
1922-06-30,10.2,57.72110000000001,32.905824175824144,115.72,11.989999999999998,100.533,31.3,148.14972249752236,70.38132015810284,55.53591575817644,27.24,21.84413211186113,25.84,89.2682783810464,238.192,0.0,17.62,25.62,60.95,17.1,55.42,9.316310497658602,30.65,70.30000000000001,0.0,0.0,0.0,25.83,97.6,19.3,23.11,24.414999999999964,19.67207130967304,32.262
1922-07-31,11.8,29.69,42.07000845308536,115.57,11.78,100.373,32.4868106060606,172.73990089197227,71.55,34.268206976045846,30.39,25.86590646094502,28.8,90.35613622902272,252.494,0.0,144.4579994445209,94.80144304102504,60.41,37.24878228979663,106.91399209486164,0.0,31.94,71.51,0.0,0.0,0.0,26.950000000000003,100.8,27.91,23.11,25.283000000000012,33.70509693983189,49.502
1922-08-31,11.41,48.91510000000001,28.26766694843616,4.83,9.58,98.413,31.3,168.6186045589693,18.18,13.97,29.42,22.05,198.435075535049,77.94448766041464,230.253,0.0,25.73503464027455,107.5963998223136,59.13,46.00158444963532,98.89762845849802,0.0,31.33,42.23500000000001,0.0,0.0,0.0,26.090000000000003,100.8,34.41,23.11,39.93926685932635,46.10992075677792,27.072
1922-09-30,9.21,23.916588449528145,3.71,3.17,7.27,45.11526773226775,31.3,93.49696134786916,13.55,10.45,24.89,18.68,43.94447953109491,1.5557749259624882,10.744,0.0,15.43,22.930000000000003,57.58,14.36,55.41387351778656,0.0,29.96,3.965740766493497,0.0,0.0,0.0,23.15,97.6,15.58,23.11,45.01373737373738,27.770000000000003,6.522
1922-10-31,6.94,11.18,2.36,2.11,5.79,10.85117182817184,31.3,6.55,10.2,7.9,18.67,14.04,17.76,3.2053307008884504,10.346,0.0,11.35,17.23,56.44,10.79,52.8505533596838,5.5524251161300615,27.07,0.0,0.0,0.0,0.0,18.16,100.8,2.88,17.602449707501545,29.70570199361961,0.0,0.5520000000000005
1922-11-30,5.42,10.09,2.15,1.82,5.34,6.773000000000001,31.3,4.949999999999999,8.959999999999999,6.96,14.170000000000002,10.69,13.53,1.50542941757157,5.04,0.0,8.58,13.01,55.7,8.16,33.3,0.0,25.54,0.0,0.0,0.0,0.0,14.239999999999998,97.6,0.0,0.0,19.42629377331673,0.0,4.112
1922-12-31,5.07,8.74,2.15,1.82,3.96,5.053000000000001,31.3,4.359999999999999,7.14,5.5,12.510000000000002,9.46,11.96,2.031589338598223,4.32,0.0,7.130000000000001,10.93,55.43,6.46,29.85,0.0,23.3,0.0,0.0,0.0,0.0,11.31,100.8,0.0,23.11,34.52,0.0,0.0
1923-01-31,4.95,9.7,2.15,1.82,5.3,6.593000000000001,31.3,4.15,8.85,6.87,11.93,9.02,11.420000000000002,2.341559723593288,4.99,0.0,6.44,9.49,55.74,6.03,30.06,0.0,21.85,0.0,0.0,0.0,0.0,9.94,100.8,0.0,21.75,33.92,0.0,3.1919999999999997
1923-02-28,4.95,10.47,2.2,1.99,5.609999999999999,6.843000000000001,31.3,4.3100000000000005,9.58,7.43,12.36,9.35,11.82,2.3919052319842056,5.36,0.0,7.07,10.39,56.18,6.54,30.77,0.0,22.27,0.0,0.0,0.0,0.0,10.89,91.1,0.0,1.811,38.260000000000005,0.0,3.492
1923-03-31,5.19,14.06,3.37,2.91,6.9,8.403,15.4,4.65,12.76,9.85,13.34,10.07,69.26320015984015,76.96225666337611,146.709,0.0,17.202684614186968,10.86,57.47,7.56,33.99,0.0,23.01,0.0,0.0,0.0,0.0,13.85,100.8,0.22,7.112665152927086,37.16,0.0,6.402
1923-04-30,6.3500000000000005,19.64,10.603905289045716,113.69,9.15,58.58539760239762,31.3,26.89027750247773,16.95,13.03,17.62,13.259999999999998,169.97872063936066,3.1076011846001985,109.822032572491,0.0,10.98,16.15,58.86,10.53,40.99,16.66,25.83,9.029000000000003,0.0,0.0,0.0,18.92,97.6,9.33,23.11,31.523000000000025,0.0,9.742
1923-05-31,8.16,43.50710000000001,153.59511411665252,115.1,11.12,99.233,31.3,139.7544995044599,69.93,31.84089395441029,23.24,17.45,247.16662986985276,70.41362290227049,207.19000000000003,20.010000000000005,14.59,82.14299999999997,60.32,42.23707108713384,48.49,22.6,28.43,56.483892766493526,0.0,0.0,0.0,21.32,100.8,15.84,23.11,25.57799999999997,0.0,37.152
1923-06-30,10.2,57.72110000000001,163.6094331022823,115.72,75.37686247120736,100.533,31.3,167.67350842418242,72.27,79.57691575817644,27.24,21.84413211186113,253.392,95.63649160908194,234.296,27.08,119.09268229200453,31.139779802621995,60.95,82.44311870388839,55.42,30.79,30.65,62.45207130967305,0.0,0.0,0.0,25.83,97.6,19.3,23.11,24.58500000000004,43.41,32.262
1923-07-31,11.8,29.69,189.5163313609468,115.57,256.119,100.373,32.4868106060606,175.09966303270568,71.55,49.56938297604968,30.39,25.86590646094502,256.58000000000004,90.35613622902272,258.958,31.1,171.97,154.59543637190586,60.41,83.89401963365643,106.91399209486164,0.0,31.94,80.21000000000001,0.0,0.0,0.0,26.950000000000003,100.8,27.91,23.11,24.503000000000043,41.66509693983189,49.502
1923-08-31,11.41,65.88826707768607,155.488292476754,114.0,220.7055454545455,98.413,31.3,170.62038057482658,18.18,13.97,29.42,22.05,207.9364003596403,77.94448766041464,227.789,28.68,153.918,110.9910998223136,59.13,127.29803589232304,98.89762845849802,8.392738712226603,31.33,83.47,0.0,0.0,0.0,26.090000000000003,100.8,34.41,23.11,37.693092453479096,21.86492075677792,27.072
1923-09-30,9.21,45.23110000000001,22.303533191579117,67.0691008991009,103.90818181818184,64.31831357226774,31.3,92.96896134786915,13.55,10.45,24.89,18.68,70.78303268219797,18.37291806515301,66.952,21.980000000000004,56.9673324357021,22.930000000000003,57.58,42.95543517032122,55.41387351778656,16.526632809996805,29.96,18.705429552908832,0.0,0.0,0.0,23.15,97.6,15.58,23.11,44.01373737373738,34.95000000000001,18.412
1923-10-31,6.94,11.18,2.36,22.54756243756244,76.81463636363637,10.85117182817184,31.3,24.05,10.2,7.9,18.67,14.04,76.04643692307695,41.40468882894457,56.949571113138205,12.47,11.35,17.23,56.44,37.22070787637089,52.8505533596838,5.549018067163809,27.07,0.0,0.0,0.0,0.0,18.16,100.8,2.88,23.11,36.42948951007354,10.173449707501554,0.5520000000000005
1923-11-30,5.42,10.09,2.15,1.82,5.34,6.773000000000001,31.3,4.949999999999999,8.959999999999999,6.96,14.170000000000002,10.69,15.415,1.50542941757157,5.04,6.009999999999998,8.58,13.01,55.7,8.16,33.3,0.0,25.54,0.0,0.0,0.0,0.0,14.239999999999998,97.6,0.0,23.11,29.145117218202813,0.0,0.0
1923-12-31,5.07,8.74,2.15,1.82,3.96,5.053000000000001,31.3,4.359999999999999,7.14,5.5,12.510000000000002,9.46,13.354,2.031589338598223,4.32,2.629999999999999,7.130000000000001,10.93,55.43,6.46,29.85,0.0,23.3,0.0,0.0,0.0,0.0,11.31,100.8,0.0,23.11,19.47298576965061,0.0,0.0
1924-01-31,4.95,9.7,2.15,1.82,5.3,6.593000000000001,31.3,7.959999999999999,8.85,6.87,11.93,9.02,12.564000000000002,33.63945310957553,8.42224366427686,15.02,7.697,9.365,55.74,12.574366899302095,35.628181818181815,0.0,21.85,0.0,0.0,0.0,0.0,9.94,100.8,0.0,21.75,17.980408465799254,0.0,3.1919999999999997
1924-02-29,4.95,10.47,2.2,1.99,5.609999999999999,6.843000000000001,31.3,4.3100000000000005,9.58,7.43,12.36,9.35,12.313602615598732,2.3919052319842056,6.258,16.48,7.33,10.24,56.18,6.984632769281094,30.77,0.0,22.27,0.0,0.0,0.0,0.0,10.89,91.1,0.0,23.11,31.68216920905744,0.0,3.492
1924-03-31,5.19,14.06,12.44776838546069,9.82908091908092,15.906454545454546,23.815587412587416,31.3,11.35,21.09300395256917,85.93952428146682,13.34,21.946555946384542,81.84584015984015,80.98025666337611,146.709,17.65,22.886000000000003,102.946,57.47,55.21702891326022,59.21529644268775,6.921009290198246,23.01,0.0,0.0,0.0,0.0,13.85,100.8,0.22,23.11,30.01800000000003,0.0,6.402
1924-04-30,6.3500000000000005,36.03667599708206,80.2637069785269,113.69,178.59736363636358,88.50539760239761,31.3,42.75027750247772,66.95,103.08681863230925,17.62,59.69635602023187,193.27636263736264,48.78084896347482,126.18,25.6,84.28,137.96499748250895,58.86,73.5509371884347,40.99,16.66,25.83,13.45900000000001,0.0,0.0,0.0,18.92,97.6,9.33,23.11,26.91300000000001,0.0,9.742
1924-05-31,8.16,67.66750000000002,28.32968723584109,115.1,217.9366363636363,99.233,31.3,157.2544995044599,69.93,157.79289395441032,23.24,104.3,249.85,70.41362290227049,207.19000000000003,34.010000000000005,167.21,257.5305585038694,60.32,132.18666001994018,48.49,22.6,28.43,61.51389276649353,0.0,0.0,0.0,21.32,100.8,15.84,23.11,45.7,0.0,37.152
1924-06-30,10.2,81.93430000000001,36.20844463229074,115.72,255.211,100.533,31.3,169.5215084241824,72.27,188.01491575817647,27.24,107.28,253.62,99.65449160908194,232.936,41.08,170.24,297.50173059738165,60.95,139.06709870388835,55.42,30.79,30.65,64.24207130967304,0.0,0.0,0.0,25.83,97.6,19.3,23.11,45.7,47.220000000000006,44.542
1924-07-31,11.8,52.6075,42.07000845308536,115.57,256.149,100.373,32.4868106060606,177.21166303270567,71.55,201.0456888007929,30.39,98.49962403677324,256.58000000000004,100.81441263573548,258.47,45.1,171.97,328.09000000000003,60.41,143.82,106.91399209486164,0.0,31.94,67.49400000000001,0.0,0.0,0.0,26.950000000000003,100.8,27.91,23.11,45.7,60.35109693983188,36.982
1924-08-31,11.41,73.07550000000002,28.26766694843616,114.0,217.16454545454556,98.413,41.82920915997661,171.23638057482663,68.18,168.63038652130825,29.42,22.05,255.366,81.96248766041464,231.997,42.68,153.918,273.6828207265754,94.789,127.29803589232304,98.89762845849802,9.722388347543388,31.33,53.18500000000001,0.0,0.0,0.0,26.090000000000003,100.8,34.41,23.11,45.7,58.21992075677792,40.022
1924-09-30,9.21,43.66030000000001,3.71,67.0691008991009,7.27,36.64262773226776,31.3,93.67296134786916,29.115517786561277,44.6692166589512,24.89,18.68,160.77519380619384,22.39091806515301,66.376,35.980000000000004,80.578,109.0427,57.58,46.79070787637089,55.41387351778656,16.551326319060855,29.96,76.59,0.0,0.0,0.0,23.15,97.6,15.58,23.11,45.7,42.273364537816505,6.522
1924-10-31,6.94,11.18,2.36,22.54756243756244,5.79,7.943,31.3,6.55,10.2,7.9,18.67,14.04,83.31376716066768,46.38871273445213,101.31700000000002,26.47,39.491,69.88620157598046,56.44,37.22070787637089,52.8505533596838,5.546814123864047,27.07,15.203449707501548,0.0,0.0,0.0,18.16,100.8,2.88,23.11,45.7,0.0,0.5520000000000005
1924-11-30,5.42,10.09,2.15,1.82,5.34,6.773000000000001,31.3,4.949999999999999,8.959999999999999,6.96,14.170000000000002,10.69,14.934,1.50542941757157,5.497,20.01,8.962,13.01,55.7,8.16,34.206126482213435,0.0,25.54,0.0,0.0,0.0,1.7689999999998918,14.239999999999998,97.6,0.0,23.11,38.39330325271729,0.0,0.0
1924-12-31,5.07,8.74,2.15,1.82,3.96,5.053000000000001,31.3,4.359999999999999,7.14,5.5,12.510000000000002,9.46,12.967,2.031589338598223,4.32,16.63,7.130000000000001,10.93,55.43,6.46,29.85,0.0,23.3,0.0,0.0,0.0,7.043000000000006,11.31,100.8,0.0,23.11,16.772985769650603,0.0,3.5619999999999994
1925-01-31,4.95,9.7,2.15,1.82,5.3,6.593000000000001,31.3,4.15,8.85,6.87,11.93,9.02,12.642,33.63945310957553,5.835,1.0199999999999996,7.697,9.49,55.74,6.03,35.628181818181815,0.0,21.85,0.0,0.0,0.0,1.8269999999999984,9.94,100.8,0.0,21.75,10.507380350878492,0.0,0.0
1925-02-28,4.95,10.47,2.2,1.99,5.609999999999999,6.843000000000001,14.219999999999995,4.3100000000000005,9.58,7.43,12.36,9.35,11.82,2.3158933859822315,5.36,2.4800000000000004,7.33,10.39,56.18,6.54,30.77,0.0,22.27,0.0,0.0,0.0,0.6019999999999754,10.89,91.1,0.0,22.49,8.08138693527836,0.0,0.0
1925-03-31,5.19,14.06,3.37,2.91,6.9,8.403,17.9,4.65,12.76,9.85,13.34,10.07,67.95692859794434,76.96225666337611,141.389,3.649999999999999,22.886000000000003,10.86,57.47,7.56,33.99,0.0,23.01,0.0,0.0,0.0,0.2730000000000245,13.85,100.8,0.22,23.11,35.78280168002816,0.0,6.402
1925-04-30,6.3500000000000005,19.64,8.783981403212156,4.5200000000000005,9.15,24.705397602397625,31.3,26.89027750247773,16.95,13.03,17.62,13.259999999999998,180.31772263736264,3.1076011846001985,126.18,11.6,84.28,16.15,58.86,20.073067328902205,40.99,16.66,25.83,9.879000000000012,0.0,0.0,2.197999999999979,18.92,97.6,9.33,23.11,45.7,0.0,19.872
1925-05-31,8.16,43.50710000000001,28.32968723584109,5.930000000000001,11.12,99.233,31.3,154.17226176128062,69.93,54.43089395441029,23.24,17.45,249.283,70.41362290227049,207.19000000000003,20.010000000000005,167.21,67.40956966178467,60.32,132.18666001994018,48.49,22.6,28.43,57.45389276649354,0.0,0.0,0.5470000000000255,21.32,100.8,15.84,23.11,45.7,0.0,26.16200000000001
1925-06-30,10.2,57.72110000000001,36.20844463229074,115.72,11.989999999999998,100.533,31.3,167.67350842418242,72.27,188.01491575817647,27.24,21.84413211186113,253.62,98.46303160908194,236.416,27.08,170.24,25.62,60.95,139.06709870388835,55.42,30.79,30.65,56.53399999999999,0.0,0.0,0.5800000000000409,25.83,97.6,19.3,23.11,45.7,50.408071309673055,44.542
1925-07-31,11.8,29.69,42.07000845308536,109.63998922388718,11.78,100.373,32.4868106060606,175.09966303270568,71.55,79.57568880079289,30.39,25.86590646094502,256.58000000000004,90.35613622902272,258.214,31.1,171.97,193.52509962664493,60.41,143.82,106.91399209486164,0.0,31.94,80.19,0.0,0.0,2.8799999999999955,26.950000000000003,100.8,27.91,23.11,45.7,42.87509693983189,49.502
1925-08-31,11.41,48.91510000000001,28.26766694843616,4.83,9.58,98.413,31.3,153.2083805748266,68.18,99.25788887262829,29.42,22.05,207.9144003596403,80.94650766041464,229.997,28.68,153.918,218.6142485240095,59.13,127.29803589232304,98.89762845849802,8.401512198470911,31.33,51.36500000000001,0.0,0.0,2.1829999999999927,26.090000000000003,100.8,34.41,23.11,45.7,55.14992075677792,27.072
1925-09-30,9.21,19.44710000000001,3.71,3.17,7.27,11.235267732267754,31.3,75.64496134786916,13.55,10.45,24.89,18.68,73.57337432974506,18.37291806515301,65.608,21.980000000000004,80.578,55.950297594821095,57.58,46.79070787637089,55.41387351778656,16.543490078967416,29.96,20.65199999999998,0.0,0.0,0.45799999999997,23.15,97.6,15.58,23.11,45.7,48.75946087940399,18.412
1925-10-31,6.94,11.18,2.36,2.11,5.79,7.943,31.3,6.55,10.2,7.9,18.67,14.04,76.04643692307695,46.38871273445213,102.53300000000002,12.47,39.491,37.37263503171458,56.44,37.22070787637089,52.8505533596838,5.531200072004305,27.07,0.0,0.0,0.0,1.6870000000000118,18.16,100.8,2.88,23.11,35.410628608445535,11.163449707501576,11.451999999999998
1925-11-30,5.42,10.09,2.15,1.82,5.34,6.773000000000001,4.605033784898254,4.949999999999999,8.959999999999999,6.96,14.170000000000002,10.69,13.53,1.50542941757157,5.04,6.009999999999998,8.962,13.01,55.7,8.16,33.3,0.0,25.54,0.0,0.0,0.0,1.5570000000000164,14.239999999999998,97.6,0.0,23.11,17.029426765965173,0.0,0.0
1925-12-31,5.07,8.74,2.15,1.82,3.96,5.053000000000001,14.97,4.359999999999999,7.14,5.5,12.510000000000002,9.46,11.96,2.031589338598223,4.32,2.629999999999999,7.130000000000001,10.93,55.43,6.46,29.85,0.0,23.3,0.0,0.0,0.0,0.90300000000002,11.31,100.8,0.0,23.11,16.772985769650603,0.0,3.5619999999999994
