date,GW_01,GW_02,GW_03,GW_04,GW_05,GW_06,GW_07,GW_08,GW_09,GW_10,GW_11,GW_12,GW_13,GW_14,GW_15,GW_16,GW_17,GW_18,GW_19,GW_20,GW_21,GW_AV,GW_CH,GW_EW,GW_HF,GW_IM,GW_MJ,GW_MWD,GW_OW,GW_SBV,GW_SC,GW_SD,GW_VC
1921-10-31,38541.811575,136628.0879,132766.27562,60704.631305,91144.026784,175040.087488,56521.530853,190709.73700911296,139434.587199,90230.600064,58855.680564,42594.976154,138230.12641199998,178910.3080299832,309111.897801,64776.079942,97238.54847999998,321394.07546,141877.605698,137102.971336,341275.512644,20003.1062,3496.1710000000003,7016.437110292499,250.0,932.747,2595.146,729.037,30000.98,2497.956,457.337,7015.9402,288.3945
1921-11-30,38597.39697,136694.9375,132815.67143,60706.193152,91169.29323,175067.643984,56497.564031,190732.688389113,139416.331217,90245.8768,58858.974104,42588.963705,138232.162834,178959.50727256562,309122.709329,64823.09003399999,97249.09253999998,321392.54469,141937.788897,137118.578808,341359.955191,20004.80756,3484.7513000000004,7029.4894702924985,250.0,933.024,2615.8575,700.8100000000001,30003.86,2512.886,495.779,7029.639,300.164
1921-12-31,38636.656685,136745.053215,132873.83008299998,60776.449608,91230.594798,175140.96469599998,56488.69121799999,190764.029529113,139495.881099,90326.586672,58898.974532,42629.01661399999,138292.157458,179000.736741227,309215.043662,64858.049034,97260.86813999998,321447.70917,141985.04425099998,137132.228808,341418.15769100003,20035.87456,3530.4393000000005,7044.880150292499,250.0,941.417,2643.1885,677.0590000000001,30006.83,2525.695,532.663,7044.419,308.643
1922-01-31,38664.95788,136774.95479,132895.84574699998,60777.876819000005,91232.43361,175151.017496,56479.17455999999,190786.538014113,139522.776445,90327.26328,58918.530584,42632.52330899999,138310.060168,179035.30516501574,309272.732432,64883.559594,97274.96139999996,321475.59277,142013.61990899997,137145.831056,341460.848767,20045.76264,3537.9598000000005,7055.557950292499,250.0,947.794,2680.6925,652.936,30009.890000000003,2536.876,590.105,7055.757,309.956
1922-02-28,38691.53288,136812.05278,132945.97897,60859.730451,91317.715914,175268.661168,56483.648024,190839.326219113,139623.894229,90390.54048,58983.196468,42674.33731399999,138392.96130599998,179066.55225978376,309346.397717,64907.445564,97292.89159999996,321514.17037,142034.84066699998,137157.208912,341491.19554700004,20046.95892,3532.1183000000005,7061.685270292499,250.0,953.966,2707.603,628.009,30013.380000000005,2548.304,634.592,7060.1538,310.25199999999995
1922-03-31,38712.949905,136828.02186,132954.17728099998,60860.25229,91324.81360399998,175258.60981599998,56495.353188,190867.836684113,139619.715466,90397.782592,58991.45866,42678.51030399999,138436.21122399997,179100.37137284398,309454.46606,64932.389138,97309.30247999995,321577.19381,142056.99956799997,137176.872544,341529.96016200003,20049.93632,3529.7220000000007,7068.919350292499,250.0,954.799,2742.318,603.72,30018.430000000004,2560.484,655.0,7066.7308,311.52649999999994
1922-04-30,38736.855015,136837.420235,132992.80158659676,60913.849915000006,91406.66707799998,175260.41076239757,56491.95237199999,190889.0771366105,139630.023093,90420.941072,59014.641916,42693.55636999999,138505.66797999997,179129.11089965937,309449.99378742755,64956.28865,97339.43157999996,321624.41005,142064.46167299998,137200.497016,341550.34173200006,20054.00396,3527.6489000000006,7084.915070292499,250.0,955.377,2758.8675,604.375,30015.1,2561.6231231555043,655.0,7075.2466,297.1834999999999
1922-05-31,38755.886715,136821.61772500002,133006.9517183609,60977.542203000005,91522.600772,175213.77501839757,56498.385814,190831.5224928048,139716.970764,90536.3554820456,59134.119988,42793.66161999999,138661.08011199997,179127.63637240927,309550.49362542754,64988.271974,97395.19981999998,321688.9703310862,142105.201327,137234.37117600002,341577.2053210001,20061.002160000004,3521.474200000001,7098.983390292499,250.0,955.814,2771.1695,615.837,30006.930000000004,2559.325123155505,655.0,7061.0152,276.15899999999993
1922-06-30,38757.81121,136785.9309,133008.9256581851,60879.801594,91498.297608,175142.09333679758,56480.510321,190756.5682653073,139715.2446288419,90547.0243182874,59164.107392,42836.52029088813,138785.67840799998,179112.02641402822,309595.5487394275,65022.539986,97456.26911999998,321808.4953510862,142121.021261,137262.21655200003,341599.7313120001,20060.352089502343,3515.5383000000006,7066.728830292499,250.0,956.344,2776.04,643.8199999999999,29994.880000000005,2563.364123155505,655.0,7060.860128690327,276.0659999999999
1922-07-31,38755.27801,136777.56708,133001.44999873202,60776.595453,91469.164886,175062.74039746958,56447.07771239393,190639.3747944153,139634.4018792659,90477.61203131136,59054.414056,42758.53628342719,138846.68978599997,179072.9454777992,309463.06208942755,65043.625054,97381.48208055546,321831.1113080452,142136.51886299998,137275.18656971023,341567.85513290524,20069.744649502343,3510.4494000000004,7041.315950292499,250.0,957.004,2758.689,678.6189999999999,29973.110000000004,2569.8321231555046,655.0,7052.727031750495,272.1104999999999
1922-08-31,38751.600085,136748.04886500002,133007.24582178358,60800.190391,91488.359906,174992.22332386958,56423.33609239393,190524.0251598563,139607.7815762659,90444.21228731135,58994.20802,42720.585127427184,138712.4459324649,179038.62731013878,309336.53120442753,65056.340134000005,97409.44748591518,321815.73587822285,142146.145883,137272.6293612606,341539.67744944675,20077.768489502345,3509.1328000000003,7043.097390292499,250.0,959.677,2742.112,716.6159999999999,29944.300000000003,2574.8811231555046,639.1557331406736,7034.249910993716,288.4489999999999
1922-09-30,38749.78068,136739.8014465505,133023.29012478358,60809.246208,91495.458126,174960.32276013732,56399.73471239393,190469.51695350843,139592.4586052659,90430.17438331136,58966.276264,42701.51091842719,138707.1038509338,179059.6216602128,309352.2461044276,65066.569802000005,97428.03552591518,321828.88098822284,142135.42998,137281.3223852606,341520.33007892896,20082.460569502346,3495.1331000000005,7070.456809526006,250.0,960.135,2728.181,746.4529999999999,29933.680000000004,2575.6391231555044,618.6509957669363,7031.432710993716,312.8759999999999
