date,INFLOW-GW_01,INFLOW-GW_02,INFLOW-GW_03,INFLOW-GW_04,INFLOW-GW_05,INFLOW-GW_06,INFLOW-GW_07,INFLOW-GW_08,INFLOW-GW_09,INFLOW-GW_10,INFLOW-GW_11,INFLOW-GW_12,INFLOW-GW_13,INFLOW-GW_14,INFLOW-GW_15,INFLOW-GW_16,INFLOW-GW_17,INFLOW-GW_18,INFLOW-GW_19,INFLOW-GW_20,INFLOW-GW_21,INFLOW-GW_AV,INFLOW-GW_CH,INFLOW-GW_EW,INFLOW-GW_IM,INFLOW-GW_MJ,INFLOW-GW_MWD,INFLOW-GW_OW,INFLOW-GW_SBV,INFLOW-GW_SC,INFLOW-GW_SD,INFLOW-GW_VC
1921-10-31,96.63,141.14,71.89,-29.14,22.14,69.15,10.92,38.7,-31.37,10.34,22.78,-5.47,0.99,66.93,-556.22,77.7,20.04,15.17,171.53,32.0,165.45,0.0,0.86,11.03,2.39,0.0,65.81,3.86,16.42,9.87,11.19,22.19
1921-11-30,56.45,76.47,46.97,-0.41,22.28,33.7,5.68,24.58,-9.85,12.66,8.14,-3.55,4.96,47.21,10.38,46.4,12.34,8.17,113.43,22.47,116.13,0.0,0.57,9.36,0.0,5.41,60.46,2.88,12.92,16.89,10.57,15.43
1921-12-31,39.84,58.81,58.29,69.07,59.74,78.23,20.61,32.84,86.65,80.04,43.85,41.6,62.59,38.57,91.45,34.73,12.91,64.93,101.53,19.8,86.89,29.79,49.32,12.27,8.18,6.02,69.56,2.97,11.2,15.73,12.26,11.73
1922-01-31,28.79,39.56,23.07,2.46,4.95,16.51,3.76,23.95,35.68,1.02,22.49,5.19,19.64,31.9,54.75,25.4,14.51,34.69,79.21,17.98,69.42,8.75,15.77,8.18,6.18,16.29,71.25,3.06,9.88,36.36,9.38,4.26
1922-02-28,27.07,47.48,51.65,83.15,90.46,124.31,34.18,54.4,110.52,59.97,67.77,43.37,83.14,28.56,70.68,23.66,18.96,43.74,73.8,17.03,58.68,0.0,3.01,3.21,5.95,8.67,59.39,3.49,10.08,36.76,2.96,0.0
1922-03-31,22.1,28.79,9.16,0.76,12.14,-6.78,9.58,29.03,7.08,-5.24,8.86,2.11,26.09,26.61,73.42,21.49,13.49,40.11,60.06,15.03,62.06,0.96,3.15,2.94,0.56,15.69,70.09,5.27,10.69,22.68,3.79,0.0
1922-04-30,18.88,21.65,22.2,15.15,54.46,0.86,15.23,29.79,13.49,9.31,20.87,10.46,25.77,24.76,72.85,18.11,12.78,16.71,51.46,16.76,52.24,0.0,0.0,4.09,0.22,5.46,86.72,6.0,14.64,9.84,4.59,0.0
1922-05-31,13.53,17.37,10.83,3.4,82.39,-1.22,24.18,34.21,71.22,108.28,117.71,94.72,88.52,50.12,247.29,23.07,12.76,56.92,75.76,15.38,59.34,0.0,0.0,6.36,0.0,0.0,97.94,7.67,17.69,2.94,7.54,4.88
1922-06-30,6.33,9.96,0.7,-53.63,-66.2,-29.38,-4.54,25.05,18.52,22.37,31.41,40.47,50.21,71.17,214.06,24.47,18.16,50.94,62.82,10.19,58.25,0.0,0.0,12.41,0.0,0.0,107.19,7.25,22.83,0.33,12.84,18.62
1922-07-31,3.23,7.68,-1.82,-64.91,-74.61,-40.66,-19.26,6.47,-55.15,-81.46,-105.85,-77.32,-20.09,48.92,45.22,11.2,9.0,19.94,61.59,13.36,55.23,0.0,1.0,17.93,0.11,0.0,116.73,6.14,24.8,1.0,18.02,30.39
1922-08-31,1.78,7.02,1.92,-37.31,-16.6,-25.66,-7.91,4.91,-47.26,-58.3,-55.38,-38.88,-31.02,41.65,36.88,4.46,4.48,11.72,56.68,11.56,52.98,0.0,0.0,20.38,2.17,0.0,118.71,5.6,23.65,0.0,20.32,31.47
1922-09-30,1.76,7.07,3.55,-12.41,-5.83,-8.2,1.49,9.34,-17.13,-27.52,-22.15,-17.3,-11.6,18.43,5.8,5.22,5.88,3.86,40.1,11.08,30.58,0.0,0.0,19.13,0.0,0.0,110.57,4.96,20.17,1.08,19.29,26.1
1922-10-31,2.96,7.91,6.52,9.01,10.42,10.98,7.46,12.63,-1.8,-7.48,-3.61,-5.98,-4.33,23.18,11.28,3.56,3.04,1.2,39.59,9.24,31.78,0.0,0.0,17.7,0.0,3.76,100.29,5.85,16.42,5.22,17.89,22.19
1922-11-30,3.07,13.6,17.67,33.66,24.7,37.21,10.4,16.55,15.2,7.04,15.07,8.33,3.02,17.17,26.38,4.22,2.89,5.18,36.8,9.34,27.37,0.14,0.43,10.53,5.75,3.51,65.81,4.9,12.92,13.59,11.77,15.43
1922-12-31,5.81,18.44,44.84,96.89,87.35,122.27,34.46,40.76,108.07,49.49,61.51,43.0,51.13,17.03,50.06,4.54,6.57,38.75,40.83,9.98,25.47,0.14,0.57,9.56,7.46,2.11,60.46,5.06,11.2,20.21,9.59,11.73
1923-01-31,6.98,16.68,6.52,4.26,-7.82,23.4,7.39,31.34,45.35,-2.24,21.55,6.28,22.54,15.21,31.73,3.21,5.49,13.06,35.92,9.47,26.79,1.37,0.43,8.51,1.18,8.42,69.56,5.03,9.88,20.56,9.85,4.26
1923-02-28,4.95,10.82,-2.99,-17.45,-17.25,-12.02,-1.68,16.59,-6.78,-3.91,-8.15,-5.76,13.91,14.36,29.95,3.09,4.8,-0.99,36.5,7.67,23.61,3.83,4.87,3.36,0.26,3.06,57.98,5.4,10.08,22.87,3.33,0.0
1923-03-31,4.39,9.15,-1.27,-5.58,12.31,-15.04,5.5,15.7,-1.53,4.03,-10.79,-8.94,12.23,24.78,64.33,4.65,1.75,6.16,39.76,6.83,34.13,5.47,0.14,3.23,0.0,1.55,68.42,7.09,10.69,18.03,4.22,0.0
1923-04-30,7.44,11.65,16.79,40.1,58.81,28.24,23.2,31.87,58.36,67.76,46.52,40.01,58.51,15.96,97.28,9.19,4.83,58.92,34.62,11.13,32.04,0.27,0.35,4.43,3.79,11.83,84.67,8.25,14.64,9.23,5.14,0.0
1923-05-31,1.61,1.44,-4.82,-35.14,-26.53,-25.53,-1.22,20.03,39.24,56.6,40.94,28.82,56.8,28.34,95.77,10.47,11.17,43.89,44.57,8.82,38.99,0.0,0.0,6.76,2.62,0.0,95.62,9.13,17.69,2.31,8.14,4.88
1923-06-30,-0.42,3.39,-3.91,-40.6,-30.54,-29.2,-4.63,13.34,-14.24,-31.91,-15.67,1.59,5.04,35.05,54.06,7.63,5.95,23.15,51.46,4.65,45.75,0.0,0.0,12.8,0.0,0.0,104.64,8.42,22.83,0.5,13.49,18.62
1923-07-31,-2.19,2.84,-3.85,-36.59,-12.9,-28.06,-3.42,8.54,-27.3,-38.75,-27.53,-9.77,0.85,40.8,52.8,4.02,4.59,16.96,49.82,8.18,45.83,0.27,0.14,18.42,0.65,0.0,113.96,8.03,24.8,0.22,18.74,30.39
1923-08-31,-2.86,2.91,-1.19,-22.94,-5.41,-18.41,1.44,7.47,-25.58,-35.93,-31.47,-23.46,-20.33,32.57,27.51,0.69,0.67,8.74,47.54,6.55,42.93,0.0,3.01,20.87,1.44,0.0,115.89,7.41,23.65,1.66,21.06,31.47
1923-09-30,-1.46,4.71,3.33,-2.05,0.72,-1.9,7.39,12.1,-2.72,-15.63,-10.54,-8.49,-3.59,10.9,14.64,2.87,4.13,0.94,32.64,7.22,19.95,0.0,0.43,19.61,2.62,4.56,107.95,6.84,20.17,2.14,20.0,26.1
1923-10-31,-0.73,4.0,-0.12,2.53,7.64,8.87,8.46,12.48,5.86,-4.39,12.22,5.17,2.19,15.3,19.41,1.71,1.95,-0.38,33.58,5.66,21.85,0.0,0.0,18.13,0.04,2.71,97.91,3.69,16.42,7.86,18.54,22.19
1923-11-30,-0.86,2.99,-2.03,3.17,2.2,4.9,4.38,8.88,3.6,-7.26,-13.06,-11.03,-3.61,9.42,14.09,1.94,1.64,-2.41,30.76,6.25,19.58,8.88,11.31,10.7,1.21,4.01,64.24,2.7,12.92,6.15,12.11,15.43
