link,i,j,k,cost,amplitude,lower_bound,upper_bound
A101.1922-10-31_HU101.1922-10-31_0,A101.1922-10-31,HU101.1922-10-31,0,0.0,1.0,0.0,1000000000000.0
A101.1922-11-30_HU101.1922-11-30_0,A101.1922-11-30,HU101.1922-11-30,0,0.0,1.0,0.0,1000000000000.0
A101.1922-12-31_HU101.1922-12-31_0,A101.1922-12-31,HU101.1922-12-31,0,0.0,1.0,0.0,1000000000000.0
A101.1923-01-31_HU101.1923-01-31_0,A101.1923-01-31,HU101.1923-01-31,0,0.0,1.0,0.0,1000000000000.0
A101.1923-02-28_HU101.1923-02-28_0,A101.1923-02-28,HU101.1923-02-28,0,0.0,1.0,0.0,1000000000000.0
A101.1923-03-31_HU101.1923-03-31_0,A101.1923-03-31,HU101.1923-03-31,0,0.0,1.0,0.0,1000000000000.0
A101.1923-04-30_HU101.1923-04-30_0,A101.1923-04-30,HU101.1923-04-30,0,0.0,1.0,0.0,1000000000000.0
A101.1923-05-31_HU101.1923-05-31_0,A101.1923-05-31,HU101.1923-05-31,0,0.0,1.0,0.0,1000000000000.0
A101.1923-06-30_HU101.1923-06-30_0,A101.1923-06-30,HU101.1923-06-30,0,0.0,1.0,0.0,1000000000000.0
A101.1923-07-31_HU101.1923-07-31_0,A101.1923-07-31,HU101.1923-07-31,0,0.0,1.0,0.0,1000000000000.0
A101.1923-08-31_HU101.1923-08-31_0,A101.1923-08-31,HU101.1923-08-31,0,0.0,1.0,0.0,1000000000000.0
A101.1923-09-30_HU101.1923-09-30_0,A101.1923-09-30,HU101.1923-09-30,0,0.0,1.0,0.0,1000000000000.0
A102.1922-10-31_HU102.1922-10-31_0,A102.1922-10-31,HU102.1922-10-31,0,0.0,1.0,0.0,1000000000000.0
A102.1922-11-30_HU102.1922-11-30_0,A102.1922-11-30,HU102.1922-11-30,0,0.0,1.0,0.0,1000000000000.0
A102.1922-12-31_HU102.1922-12-31_0,A102.1922-12-31,HU102.1922-12-31,0,0.0,1.0,0.0,1000000000000.0
A102.1923-01-31_HU102.1923-01-31_0,A102.1923-01-31,HU102.1923-01-31,0,0.0,1.0,0.0,1000000000000.0
A102.1923-02-28_HU102.1923-02-28_0,A102.1923-02-28,HU102.1923-02-28,0,0.0,1.0,0.0,1000000000000.0
A102.1923-03-31_HU102.1923-03-31_0,A102.1923-03-31,HU102.1923-03-31,0,0.0,1.0,0.0,1000000000000.0
A102.1923-04-30_HU102.1923-04-30_0,A102.1923-04-30,HU102.1923-04-30,0,0.0,1.0,0.0,1000000000000.0
A102.1923-05-31_HU102.1923-05-31_0,A102.1923-05-31,HU102.1923-05-31,0,0.0,1.0,0.0,1000000000000.0
A102.1923-06-30_HU102.1923-06-30_0,A102.1923-06-30,HU102.1923-06-30,0,0.0,1.0,0.0,1000000000000.0
A102.1923-07-31_HU102.1923-07-31_0,A102.1923-07-31,HU102.1923-07-31,0,0.0,1.0,0.0,1000000000000.0
A102.1923-08-31_HU102.1923-08-31_0,A102.1923-08-31,HU102.1923-08-31,0,0.0,1.0,0.0,1000000000000.0
A102.1923-09-30_HU102.1923-09-30_0,A102.1923-09-30,HU102.1923-09-30,0,0.0,1.0,0.0,1000000000000.0
A103A.1922-10-31_HU103A.1922-10-31_0,A103A.1922-10-31,HU103A.1922-10-31,0,0.0,1.183,0.0,1000000000000.0
A103A.1922-11-30_HU103A.1922-11-30_0,A103A.1922-11-30,HU103A.1922-11-30,0,0.0,1.183,0.0,1000000000000.0
A103A.1922-12-31_HU103A.1922-12-31_0,A103A.1922-12-31,HU103A.1922-12-31,0,0.0,1.183,0.0,1000000000000.0
A103A.1923-01-31_HU103A.1923-01-31_0,A103A.1923-01-31,HU103A.1923-01-31,0,0.0,1.183,0.0,1000000000000.0
