date,GW_01,GW_02,GW_03,GW_04,GW_05,GW_06,GW_07,GW_08,GW_09,GW_10,GW_11,GW_12,GW_13,GW_14,GW_15,GW_16,GW_17,GW_18,GW_19,GW_20,GW_21,GW_AV,GW_CH,GW_EW,GW_HF,GW_IM,GW_MJ,GW_MWD,GW_OW,GW_SBV,GW_SC,GW_SD,GW_VC,SR_BER,SR_BLB,SR_BUC,SR_BUL,SR_BVLB,SR_CAS,SR_CFW,SR_CLE,SR_CLK_INV,SR_CMN,SR_CR1,SR_CR2,SR_CR3,SR_CRW,SR_DLV,SR_DMV,SR_DNP,SR_EBMUD,SR_ENG,SR_FOL,SR_GNT,SR_HID,SR_HTH,SR_ISB,SR_LA,SR_LL_ENR,SR_LVQ,SR_MCR,SR_MHW,SR_MIL,SR_ML,SR_NHG,SR_NML,SR_OL,SR_ORO,SR_PAR,SR_PNF,SR_PRR,SR_PYM,SR_RLL_CMB,SR_SCAGG,SR_SCC,SR_SFAGG,SR_SHA,SR_SKN,SR_SLW,SR_SNL,SR_SS,SR_TAB,SR_TL,SR_TRM,SR_TUL,SR_WHI
1921-10-31,38542.02245,136626.82563,132728.954179527,60686.0024824575,91138.94089,175019.885194158,56522.4247,190688.87831,139435.8922,90234.43376,58820.610081673,42555.4078598071,138162.730499481,178908.471302596,309007.75261,64776.62904,97211.7778,321475.627789702,141869.02405,137098.1018,341275.12966,20003.10652,3489.7205,7016.43463560103,250.0,0.0,2595.146,715.005,29995.2163174135,2497.963,457.335,7015.9372,288.3925,796.6970193,10.8156939234056,57.80222,573.313469227645,24.808,282.77283295,33.5939444299821,1834.8921936,306.445053,159.0155661,0.0,0.0,4165.65918062716,54.5212471477679,27.74754545,567.671559,659.044523294456,121.6784452,66.0,530.4616453492761,20.8885614579801,15.7802856303353,110.82531213075,215.391894975038,22.5591462990761,127.11130925264608,88.023621,227.06782119,78.5,134.172142770531,2941.4242355,149.0627989,1028.72149,53.9152679245068,2634.877251789333,177.975494,504.028785290523,103.723485190028,168.83463347,41.72307248,46.0644820293583,9.76788629128632,96.8394120555998,2612.4295736564,33.8,20.0,515.004049533378,6909.301342944,9.7,4.82204,43.64,22.8273260839872,181.5
1921-11-30,38597.6311,136693.53647,132760.8372547,60678.604234016,91165.23459,175046.898045089,56498.96931,190698.45377,139417.80799,90250.9626,58815.5983228897,42539.5338225747,138156.988644236,178956.74655232,309011.03295,64823.6559,97221.9651,321518.302090098,141928.19209,137113.60196,341359.54232,20004.80788,3478.3048,7029.58399560103,250.0,0.0,2615.8625,677.863,29998.0933174135,2512.895,495.08724210598,7029.637,300.157,788.383530087419,10.0,10.0,553.493028917409,26.99121,273.086310100483,25.2732678801349,1641.2681446967522,308.76554526327,139.613711645255,0.0,0.0,4044.41712499409,57.9797681939618,27.662773130008,537.27680916572,696.0355883709451,128.033521008412,64.0,525.043623717996,18.9824448783365,4.0,84.6587242090784,179.877470627131,22.0703029627272,76.3818596459664,87.89686698576,215.90190791616,78.5,166.969717746543,2945.13574167924,140.677945637958,1061.7119045845002,29.1759420098752,2695.536307941125,161.89154241348,470.286557179918,91.3630899534635,168.075757649199,35.4416723844624,37.0,11.09,92.8570855489291,2765.8369767640997,33.8,39.2801809079364,485.73358450205,6880.09479836216,9.7,5.22896,11.26,13.7118114326946,181.501
1921-12-31,38636.89955,136743.63671,132819.1703047,60748.454684016,91227.21841,175120.199285089,56490.6576,190723.45454,139497.37407,90331.98864,58850.5950059316,42571.0954859691,138212.338141838,178996.361083534,309093.92769,64858.6129,97233.7447,321615.339961294,141975.3948015,137127.25696,341417.74282,20035.87788,3517.5443,7045.05067560103,250.0,0.0,2643.18909748284,646.62,30001.0613174135,2525.705,501.42924210598,7044.419,308.639,815.381534939853,20.45477618,10.0,528.758394484461,27.64011,284.608327867742,1.0,1455.195489456366,316.853558148364,119.690527001078,0.0,0.0,3925.33989074519,18.3,27.6316277640385,517.959761013725,773.240673615107,135.97,62.0,575.0,17.2010578766183,4.0,61.6378260135832,161.166221908128,21.5180352509878,30.1,75.5394133668508,223.591183846841,123.723048151995,242.822513971458,2949.93250843099,135.215465155582,1110.134334394116,47.3349420098752,2804.8036948641043,154.503101513172,501.939862346049,91.2178226404375,146.886801454425,52.1495404943249,37.0,9.75,90.4675317165942,3097.00716660773,44.0,20.0,480.863177249497,6868.3058032056,9.7,5.60182,9.94,11.0,172.502
1922-01-31,38665.2034,136773.52636,132841.2837447,60749.771364016,91229.32815,175129.99157484,56465.38346,190742.13237,139524.28575,90333.27716,58862.5294692015,42569.88993919,138224.522038462,179029.462774679,309150.19993,64884.13742,97246.6828,321703.095378631,142053.80885,137139.63076,341460.21339,20045.76324,3525.0668,7055.79747560102,250.0,0.0,2680.69709748284,617.068,29994.1253174135,2536.888,558.86724210598,7055.755,309.949,815.314261965853,30.8931380895906,10.0,360.0624190349029,35.6371,276.062433189053,7.9984,1263.957438842525,327.017531575086,99.8191994313188,0.0,0.0,3781.81781352156,18.3,27.6334061929696,518.18536890874,813.316222335926,143.05,62.0,558.207769803839,15.124165794533,4.0,47.0340143396136,183.36,20.9364122775332,30.1,72.0,232.810520404559,182.0,319.649002841011,2954.72682883169,137.793719501593,1149.6170475377899,35.1253653064724,2939.225183193409,158.347923601551,553.824904441107,91.0226164999869,146.453359375007,55.9279519997811,37.0,9.02,87.9973930411648,3400.90962976445,44.0,20.0,466.465386901816,6865.19669462015,9.7,39.97562,9.17,11.0,198.39693114000002
1922-02-28,38691.7784,136810.60138,132891.4734847,60829.9950624775,91314.66326,175247.26376449,56470.34127,190789.68319,139625.45282,90398.42644,58920.58636,42603.9861083124,138296.9967602,179059.294905814,309222.37194,64908.02938,97264.3786,321846.211723836,142126.25551,137150.58284,341490.46261,20046.96048,3519.2267,7061.99979560103,250.0,0.0,2707.61159748284,585.361,29997.6173174135,2548.318,616.84124210598,7060.1518,306.751,938.937341490789,57.82,10.0,363.2202767620664,39.75944,266.989157884355,103.0,1109.265954688426,288.218533629573,95.4377395073064,0.0,0.0,3719.31660053229,29.90857,27.5959157586163,490.251048932917,970.2445912161777,148.59,62.0,575.001,13.1995032489809,4.0,37.0727898387533,216.5975556,20.3434399552046,30.1,72.0,357.49216699565204,127.76760669,406.754486409048,2958.49555594295,141.253270830756,1258.5967577292843,6.10336530647239,2813.0,188.0,623.142859373222,90.863326921112,145.988978757194,65.56,37.0,13.02,82.2962774702501,3937.86475987131,33.8,61.3274792,450.410818981853,6845.885816457,11.8,93.66646,8.85,11.0,206.00199999999998
1922-03-31,38713.20975,136826.19959,132899.8853747,60830.1508524775,91321.98906,175228.544732214,56451.39938,190810.9739,139621.74568,90410.36448,58930.16148,42589.947822864,138320.632596908,179088.249192606,309190.17325,64934.43822,97266.2238,322031.169475547,142188.27836,137161.62688,341530.09064,20049.93488,3516.8344,7069.30887560103,250.0,0.0,2742.32959748284,554.648,30002.6633174135,2560.498,653.439,7066.7278,301.6245,964.546588493903,77.19,35.10653745,304.363597348235,85.66693,257.590773394887,103.0,1103.962323967537,326.914003894166,128.067204227602,0.0,0.0,3418.23303817758,18.3,26.9909187738311,458.956007030834,1104.464624928583,136.7114034,64.0,680.0,11.5,4.0,36.0,267.778996673132,19.5390672840468,30.1,72.0,292.9798724445127,148.714001401027,289.09824315817,2961.41768672917,145.31846795618,1352.9306037172769,0.0,2922.0009999999997,193.0,616.305488711069,90.4562592165054,145.367258767816,65.56,43.0341965788241,22.29,79.2643236463614,4330.0,44.0,59.993711533018,468.510325961108,6860.78721226592,9.7,103.08775,10.56,11.0,206.002
1922-04-30,38730.95615,136834.28758,132944.6606547,60877.8501824775,91408.3521,175194.9268272,56451.88879,190827.950604787,139636.39861,90440.42128,58957.34004,42582.982462864,138311.388862652,179115.312788559,309221.472831059,64957.9532,97226.6347,322101.767015547,142239.45576,137173.80624,341550.45144,20054.00252,3508.5293,7085.30359560103,250.0,0.0,2758.88409748284,543.773,29999.3333174135,2561.641,651.733,7075.2456,287.2835,968.029464278953,116.815401436364,47.682109542853,385.9305902731427,123.47643,246.699182497556,103.0,1223.9733476519991,357.120797713239,211.685282217166,0.0,0.0,3112.67968632402,18.3,26.7624322559161,428.292287338319,1069.757016667395,122.155046291376,65.0,739.97084789,11.5,4.0,36.0,315.239608868253,18.6542583199763,30.1,72.0,232.225755943908,100.305321892425,120.0,2964.49172256487,164.799519748587,1286.618,0.0,3379.95416119618,198.0,617.230752592806,89.9705091045128,144.412553134052,65.56,52.1173869644857,11.6118117,73.6704733951164,4552.0,39.7879734186508,74.93267703109326,437.454663119428,6847.47346210554,9.7,113.01392,19.7626173860241,11.0,206.001
1922-05-31,38742.15925,136831.20614,132894.89035,60823.2807624775,91529.80093,175140.1693072,56462.48767,190782.543833558,139694.708661146,90589.58564,59083.65456,42675.5308327965,138263.365612271,179169.214062744,309278.293897657,64993.75522,97281.4099,322156.980698372,142317.12481,137186.58372,341580.5203,20061.00072,3502.3546,7071.81991560103,250.0,0.0,2771.18609748284,540.914,29991.934,2559.348,632.244,7088.5642,266.259,956.763952195058,125.582265867587,46.1981392220155,773.698411250464,203.75651,218.735782627617,103.0,1306.142711870881,339.926430884646,341.0,0.0,0.0,2585.08012638211,18.3,26.3509235976862,395.794770343219,1420.0907400841181,104.78490052843,66.0,975.0,20.6647717776193,4.0,36.0,358.146569059276,17.5964326208531,30.1,72.0,455.038936859118,78.5,166.1081136,2965.60234988736,161.241394561406,1414.0223110993418,39.9409701669792,3538.0,203.0,853.74,60.0448070025386,171.2,65.56,54.3255843253922,9.30285326344002,67.9447681877702,4381.47571003636,33.8001096060987,75.0,406.660488770681,6859.46229796133,11.8,130.77465,0.57,11.0,206.002
1922-06-30,38744.45015,136807.52112,132928.17116,60831.7384724775,91512.15297,175065.1824296,56447.555520303,190704.020900119,139703.637921146,90586.0370625674,59122.12736,42695.8076181774,138175.537307173,179190.868745398,309393.759650339,65031.94088,97341.4548,322058.995930415,142331.27886,137192.70368,341607.56619,20069.66696,3496.4187,7039.55931560103,250.0,0.0,2767.138,550.5,29994.882,2563.39,610.962,7088.40616769137,253.881,922.419503498809,107.715158175046,47.417300389228,890.0,304.66414,126.390048532777,95.3450110556842,1365.025447658481,299.204894487525,431.0,0.0,0.0,1942.14166908258,66.6300636883605,19.8862018838079,364.109203863944,1440.209759393934,92.5020603537908,66.0,975.0,47.525,7.37079384399684,36.0,300.826346531396,16.5588898056612,161.0169477591926,72.0,666.0663641899766,78.5,502.679997559152,2964.44649877221,148.728020260698,1364.495,0.0,3538.0,210.0,935.29,29.9827934549983,169.48869392,65.56,53.9146538379022,2.67777163706295,60.4440742562861,3725.1405913452118,33.8,75.0,373.050542555368,6910.11148622253,11.8,152.99435,33.7983953961631,11.0,185.50887600465046
1922-07-31,38742.32705,136769.743797835,132961.77738,60725.3324724775,91490.08845,174985.8381096,56413.96848,190586.17792218,139639.707341146,90381.2631025674,59021.13248,42590.5472596721,138007.912587173,179082.315294701,309186.663980339,65057.38854,97339.5334,321913.546990415,142345.85018,137202.14648,341631.81574,20079.05984,3491.3338,7014.13843560103,250.0,0.661,2749.787,566.43,29973.116,2569.86,590.544,7080.26534625318,249.9245,861.772430305385,77.1597314926633,23.8760119189317,755.9280162344629,419.18154,211.410462686094,78.1835747372076,1148.500000058274,247.4054019574,414.990845701098,0.0,0.0,1246.39988573187,69.4993090668641,11.9336061353374,331.143306799988,1208.48901607115,90.801725063052,67.0,949.999,44.4817527,10.6563807912904,102.572582461786,148.506007589075,15.5609915956038,157.0972324636161,77.7354919254158,559.151028930147,78.5,491.576421281852,2962.34653720656,132.514096704777,1340.288,48.714292575,2664.3969205000008,210.0,804.678675946408,14.7416058690424,23.3765488782293,65.56,54.0424004076439,4.89487248909769,53.466214231451,3125.48597746469,33.8,40.81661172,338.095889372142,6956.41360214017,9.7,176.68739,5.98312587721859,11.0,181.5
